       Q,      F(Q)_RMC,  F(Q)_Expt
      1.6849990 ,      -1.8745706 ,      -1.8374777
      1.6949990 ,      -1.8630400 ,      -1.8474144
      1.7049990 ,      -1.8175280 ,      -1.8255690
      1.7149990 ,      -1.7313187 ,      -1.7645422
      1.7249990 ,      -1.5995139 ,      -1.6588757
      1.7349990 ,      -1.4195177 ,      -1.5055519
      1.7449990 ,      -1.1913983 ,      -1.3043539
      1.7549990 ,      -0.9180973 ,      -1.0580567
      1.7649990 ,      -0.6054667 ,      -0.7724336
      1.7749990 ,      -0.2621241 ,      -0.4560701
      1.7849990 ,       0.1008710 ,      -0.1199934
      1.7949990 ,       0.4705078 ,       0.2228652
      1.8049990 ,       0.8324555 ,       0.5583465
      1.8149990 ,       1.1718034 ,       0.8718378
      1.8249990 ,       1.4738667 ,       1.1491023
      1.8349990 ,       1.7250118 ,       1.3771123
      1.8449990 ,       1.9134522 ,       1.5448360
      1.8549990 ,       2.0299662 ,       1.6439282
      1.8649990 ,       2.0684914 ,       1.6692826
      1.8749990 ,       2.0265580 ,       1.6194074
      1.8849990 ,       1.9055305 ,       1.4966008
      1.8949990 ,       1.7106397 ,       1.3069098
      1.9049990 ,       1.4507987 ,       1.0598732
      1.9149990 ,       1.1382083 ,       0.7680596
      1.9249990 ,       0.7877718 ,       0.4464254
      1.9349990 ,       0.4163481 ,       0.1115270
      1.9449990 ,       0.0418859 ,      -0.2193656
      1.9549980 ,      -0.3174811 ,      -0.5291766
      1.9649980 ,      -0.6445343 ,      -0.8020769
      1.9749980 ,      -0.9236741 ,      -1.0241679
      1.9849980 ,      -1.1419007 ,      -1.1843688
      1.9949980 ,      -1.2894726 ,      -1.2749889
      2.0049980 ,      -1.3604241 ,      -1.2921383
      2.0149980 ,      -1.3528729 ,      -1.2359225
      2.0249980 ,      -1.2690985 ,      -1.1104070
      2.0349980 ,      -1.1153875 ,      -0.9233544
      2.0449980 ,      -0.9016519 ,      -0.6857488
      2.0549980 ,      -0.6408421 ,      -0.4111352
      2.0649980 ,      -0.3481884 ,      -0.1148128
      2.0749980 ,      -0.0403140 ,       0.1870706
      2.0849980 ,       0.2657293 ,       0.4784687
      2.0949980 ,       0.5534465 ,       0.7443766
      2.1049980 ,       0.8078494 ,       0.9717035
      2.1149980 ,       1.0163144 ,       1.1500278
      2.1249980 ,       1.1693000 ,       1.2721883
      2.1349980 ,       1.2608799 ,       1.3346790
      2.1449980 ,       1.2890621 ,       1.3378221
      2.1549980 ,       1.2558744 ,       1.2857103
      2.1649980 ,       1.1672113 ,       1.1859223
      2.1749980 ,       1.0324512 ,       1.0490283
      2.1849980 ,       0.8638663 ,       0.8879151
      2.1949980 ,       0.6758600 ,       0.7169718
      2.2049980 ,       0.4840757 ,       0.5511846
      2.2149980 ,       0.3044300 ,       0.4051942
      2.2249980 ,       0.1521270 ,       0.2923726
      2.2349980 ,       0.0407111 ,       0.2239744
      2.2449980 ,      -0.0187859 ,       0.2084122
      2.2549980 ,      -0.0185519 ,       0.2507012
      2.2649980 ,       0.0454842 ,       0.3521035
      2.2749980 ,       0.1733489 ,       0.5099963
      2.2849980 ,       0.3609578 ,       0.7179698
      2.2949980 ,       0.6002887 ,       0.9661513
      2.3049980 ,       0.8797880 ,       1.2417360
      2.3149980 ,       1.1849850 ,       1.5296943
      2.3249980 ,       1.4992820 ,       1.8136142
      2.3349980 ,       1.8048734 ,       2.0766321
      2.3449980 ,       2.0837429 ,       2.3023954
      2.3549980 ,       2.3186821 ,       2.4760048
      2.3649980 ,       2.4942723 ,       2.5848800
      2.3749980 ,       2.5977748 ,       2.6195008
      2.3849980 ,       2.6198778 ,       2.5739806
      2.3949980 ,       2.5552596 ,       2.4464408
      2.4049980 ,       2.4029352 ,       2.2391647
      2.4149980 ,       2.1663671 ,       1.9585223
      2.4249980 ,       1.8533344 ,       1.6146718
      2.4349980 ,       1.4755667 ,       1.2210541
      2.4449980 ,       1.0481650 ,       0.7937093
      2.4549980 ,       0.5888391 ,       0.3504538
      2.4649980 ,       0.1170058 ,      -0.0900362
      2.4749980 ,      -0.3472038 ,      -0.5091843
      2.4849980 ,      -0.7839738 ,      -0.8894641
      2.4949980 ,      -1.1748135 ,      -1.2152884
      2.5049980 ,      -1.5034950 ,      -1.4737902
      2.5149980 ,      -1.7568674 ,      -1.6554554
      2.5249980 ,      -1.9255064 ,      -1.7545741
      2.5349980 ,      -2.0041662 ,      -1.7694893
      2.5449980 ,      -1.9920116 ,      -1.7026337
      2.5549980 ,      -1.8926202 ,      -1.5603543
      2.5649980 ,      -1.7137590 ,      -1.3525394
      2.5749980 ,      -1.4669484 ,      -1.0920700
      2.5849980 ,      -1.1668411 ,      -0.7941288
      2.5949980 ,      -0.8304503 ,      -0.4754053
      2.6049980 ,      -0.4762701 ,      -0.1532413
      2.6149980 ,      -0.1233361 ,       0.1552377
      2.6249980 ,       0.2097251 ,       0.4339605
      2.6349980 ,       0.5056072 ,       0.6686732
      2.6449980 ,       0.7491518 ,       0.8475930
      2.6549980 ,       0.9280503 ,       0.9619200
      2.6649980 ,       1.0333893 ,       1.0061861
      2.6749980 ,       1.0600139 ,       0.9784300
      2.6849980 ,       1.0066976 ,       0.8801932
      2.6949980 ,       0.8761135 ,       0.7163454
      2.7049980 ,       0.6746163 ,       0.4947539
      2.7149980 ,       0.4118504 ,       0.2258202
      2.7249980 ,       0.1002102 ,      -0.0780884
      2.7349980 ,      -0.2458154 ,      -0.4032775
      2.7449980 ,      -0.6103784 ,      -0.7354021
      2.7549980 ,      -0.9770476 ,      -1.0601438
      2.7649980 ,      -1.3295845 ,      -1.3638569
      2.7749980 ,      -1.6526821 ,      -1.6341520
      2.7849980 ,      -1.9326330 ,      -1.8603945
      2.7949980 ,      -2.1578956 ,      -2.0340962
      2.8049980 ,      -2.3195384 ,      -2.1491896
      2.8149980 ,      -2.4115448 ,      -2.2021792
      2.8249980 ,      -2.4309729 ,      -2.1921689
      2.8349980 ,      -2.3779688 ,      -2.1207753
      2.8449980 ,      -2.2556422 ,      -1.9919371
      2.8549980 ,      -2.0698165 ,      -1.8116379
      2.8649980 ,      -1.8286735 ,      -1.5875625
      2.8749980 ,      -1.5423155 ,      -1.3287065
