Flight time (us) , Experiment , Calculated
   2464.1900000000001       ,   0.68174000000000001       ,   0.60514299999999999     
   2466.3449999999998       ,   0.68576999999999999       ,   0.60504701534628180     
   2468.5009999999997       ,   0.68974000000000002       ,   0.60495099533925278     
   2470.6599999999999       ,   0.68949000000000005       ,   0.60485485086995450     
   2472.8200000000002       ,   0.68832000000000004       ,   0.60475867096563130     
   2474.9829999999997       ,   0.68886000000000003       ,   0.60466236653405159     
   2477.1469999999999       ,   0.68779999999999997       ,   0.60456602658549741     
   2479.3130000000001       ,   0.69233000000000000       ,   0.60446960655745952     
   2481.4810000000002       ,   0.69293000000000005       ,   0.60437310641298314     
   2483.6509999999998       ,   0.68986000000000003       ,   0.60427652611503535     
   2485.8220000000001       ,   0.68562999999999996       ,   0.60417991012747019     
   2487.9960000000001       ,   0.68594999999999995       ,   0.60408316940714124     
   2490.1720000000000       ,   0.68691999999999998       ,   0.60398634842179932     
   2492.3489999999997       ,   0.69018999999999997       ,   0.60388949162306826     
   2494.5290000000000       ,   0.68620000000000003       ,   0.60379250999165324     
   2496.7100000000000       ,   0.68374000000000001       ,   0.60369549246409360     
   2498.8930000000000       ,   0.68183000000000005       ,   0.60359839451393982     
   2501.0780000000000       ,   0.67657999999999996       ,   0.60350121610363394     
   2503.2649999999999       ,   0.68515000000000004       ,   0.60340395719554973     
   2505.4539999999997       ,   0.68274999999999997       ,   0.60330661775199179     
   2507.6450000000000       ,   0.67972999999999995       ,   0.60320919773519688     
   2509.8379999999997       ,   0.68396000000000001       ,   0.60311169710733525     
   2512.0330000000004       ,   0.67718000000000000       ,   0.60301411583051190     
   2514.2289999999998       ,   0.68113000000000001       ,   0.60291649831732330     
   2516.4279999999999       ,   0.68130000000000002       ,   0.60281875562492759     
   2518.6280000000002       ,   0.67588999999999999       ,   0.60272097661269364     
   2520.8309999999997       ,   0.67989999999999995       ,   0.60262307235248413     
   2523.0350000000003       ,   0.68371000000000004       ,   0.60252513168881550     
   2525.2410000000000       ,   0.68320999999999998       ,   0.60242711014032946     
   2527.4489999999996       ,   0.67971000000000004       ,   0.60232900766877595     
   2529.6590000000001       ,   0.68166000000000004       ,   0.60223082423584839     
   2531.8710000000001       ,   0.68776999999999999       ,   0.60213255980318436     
   2534.0850000000000       ,   0.68442000000000003       ,   0.60203421433236792     
   2536.3009999999999       ,   0.68333999999999995       ,   0.60193578778492951     
   2538.5189999999998       ,   0.68240999999999996       ,   0.60183728012234716     
   2540.7390000000000       ,   0.68640000000000001       ,   0.60173869130604907     
   2542.9600000000000       ,   0.67944000000000004       ,   0.60164006570164985     
   2545.1839999999997       ,   0.67910000000000004       ,   0.60154131445860759     
   2547.4100000000003       ,   0.67534000000000005       ,   0.60144248194586225     
   2549.6370000000002       ,   0.66978000000000004       ,   0.60134361251876778     
   2551.8670000000002       ,   0.67047000000000001       ,   0.60124461734695145     
   2554.0980000000004       ,   0.66849999999999998       ,   0.60114558517651850     
   2556.3319999999999       ,   0.67188000000000003       ,   0.60104642719031309     
   2558.5670000000000       ,   0.67600000000000005       ,   0.60094723212114631     
   2560.8040000000001       ,   0.67779999999999996       ,   0.60084795554261961     
   2563.0430000000001       ,   0.67325999999999997       ,   0.60074859741578579     
   2565.2849999999999       ,   0.67425999999999997       ,   0.60064911333033066     
   2567.5279999999998       ,   0.66783999999999999       ,   0.60054959199305180     
   2569.7730000000001       ,   0.67415999999999998       ,   0.60044998899037672     
   2572.0200000000000       ,   0.67190000000000005       ,   0.60035030428321279     
   2574.2690000000002       ,   0.67215000000000003       ,   0.60025053783243398     
   2576.5200000000000       ,   0.66966000000000003       ,   0.60015068959888185     
   2578.7730000000001       ,   0.66820000000000002       ,   0.60005075954336795     
   2581.0279999999998       ,   0.66961000000000004       ,   0.59995074762667322     
   2583.2849999999999       ,   0.67225000000000001       ,   0.59985065380955038     
   2585.5439999999999       ,   0.66747000000000001       ,   0.59975047805272474     
   2587.8049999999998       ,   0.66827999999999999       ,   0.59965022031689619     
   2590.0680000000002       ,   0.66991000000000001       ,   0.59954988056273895     
   2592.3330000000001       ,   0.67018000000000000       ,   0.59944945875090450     
   2594.5990000000002       ,   0.66703999999999997       ,   0.59934899917401907     
   2596.8680000000004       ,   0.66890000000000005       ,   0.59924841312582744     
   2599.1390000000001       ,   0.67190000000000005       ,   0.59914774490180478     
   2601.4119999999998       ,   0.67096000000000000       ,   0.59904699446251986     
   2603.6869999999999       ,   0.66881000000000002       ,   0.59894616176852433     
   2605.9630000000002       ,   0.67091000000000001       ,   0.59884529109824181     
   2608.2420000000002       ,   0.67379000000000000       ,   0.59874429377366112     
   2610.5230000000001       ,   0.67056000000000004       ,   0.59864321407595500     
   2612.8049999999998       ,   0.67108000000000001       ,   0.59854209627530752     
   2615.0899999999997       ,   0.67005000000000003       ,   0.59844085171013361     
   2617.3770000000000       ,   0.66661999999999999       ,   0.59833952465330764     
   2619.6660000000002       ,   0.66622000000000003       ,   0.59823811506529478     
   2621.9560000000001       ,   0.67247999999999997       ,   0.59813666720561842     
   2624.2489999999998       ,   0.66661000000000004       ,   0.59803509243399700     
   2626.5439999999999       ,   0.66695000000000004       ,   0.59793343501256624     
   2628.8399999999997       ,   0.66178000000000003       ,   0.59783173919309684     
   2631.1390000000001       ,   0.66073999999999999       ,   0.59772991635083950     
   2633.4399999999996       ,   0.66152999999999995       ,   0.59762801074011918     
   2635.7430000000004       ,   0.66378999999999999       ,   0.59752602232137697     
   2638.0470000000000       ,   0.66339999999999999       ,   0.59742399533636692     
