       Q,      F(Q)_RMC,  F(Q)_Expt
      0.5049998 ,      -3.4826140 ,      -2.7285452
      0.5149998 ,      -3.6978530 ,      -3.1134371
      0.5249998 ,      -3.8121371 ,      -3.4067041
      0.5349998 ,      -3.8201521 ,      -3.6020484
      0.5449998 ,      -3.7237893 ,      -3.6994514
      0.5549998 ,      -3.5318605 ,      -3.7049062
      0.5649998 ,      -3.2593716 ,      -3.6297770
      0.5749997 ,      -2.9264126 ,      -3.4898387
      0.5849997 ,      -2.5567222 ,      -3.3040582
      0.5949997 ,      -2.1760755 ,      -3.0932252
      0.6049997 ,      -1.8105365 ,      -2.8784971
      0.6149997 ,      -1.4847356 ,      -2.6799737
      0.6249997 ,      -1.2202670 ,      -2.5153861
      0.6349997 ,      -1.0343068 ,      -2.3989844
      0.6449997 ,      -0.9385405 ,      -2.3406898
      0.6549997 ,      -0.9384617 ,      -2.3455625
      0.6649997 ,      -1.0330849 ,      -2.4136104
      0.6749997 ,      -1.2150833 ,      -2.5399458
      0.6849996 ,      -1.4713364 ,      -2.7152676
      0.6949996 ,      -1.7838628 ,      -2.9266433
      0.7049996 ,      -2.1310350 ,      -3.1585041
      0.7149996 ,      -2.4890463 ,      -3.3938184
      0.7249996 ,      -2.8334946 ,      -3.6153356
      0.7349996 ,      -3.1409972 ,      -3.8068274
      0.7449996 ,      -3.3907274 ,      -3.9542387
      0.7549996 ,      -3.5657764 ,      -4.0466754
      0.7649996 ,      -3.6542539 ,      -4.0771619
      0.7749996 ,      -3.6500584 ,      -4.0431219
      0.7849995 ,      -3.5532709 ,      -3.9465535
      0.7949995 ,      -3.3701416 ,      -3.7938829
      0.8049995 ,      -3.1126882 ,      -3.5955244
      0.8149995 ,      -2.7979146 ,      -3.3651608
      0.8249995 ,      -2.4467123 ,      -3.1188041
      0.8349995 ,      -2.0825110 ,      -2.8736983
      0.8449995 ,      -1.7297664 ,      -2.6471370
      0.8549995 ,      -1.4123787 ,      -2.4552755
      0.8649995 ,      -1.1521434 ,      -2.3120148
      0.8749995 ,      -0.9673308 ,      -2.2280332
      0.8849995 ,      -0.8714825 ,      -2.2100260
      0.8949994 ,      -0.8724998 ,      -2.2602046
      0.9049994 ,      -0.9720825 ,      -2.3760908
      0.9149994 ,      -1.1655489 ,      -2.5506101
      0.9249994 ,      -1.4420491 ,      -2.7724893
      0.9349994 ,      -1.7851598 ,      -3.0269247
      0.9449994 ,      -2.1738210 ,      -3.2964820
      0.9549994 ,      -2.5835590 ,      -3.5621689
      0.9649994 ,      -2.9879198 ,      -3.8046118
      0.9749994 ,      -3.3600251 ,      -4.0052626
      0.9849994 ,      -3.6741584 ,      -4.1475590
      0.9949993 ,      -3.9072828 ,      -4.2179649
      1.0049990 ,      -4.0404097 ,      -4.2068306
      1.0149990 ,      -4.0597234 ,      -4.1090029
      1.0249990 ,      -3.9573896 ,      -3.9241744
      1.0349990 ,      -3.7320466 ,      -3.6569320
      1.0449990 ,      -3.3888987 ,      -3.3165070
      1.0549990 ,      -2.9394388 ,      -2.9162473
      1.0649990 ,      -2.4008139 ,      -2.4728430
      1.0749990 ,      -1.7948744 ,      -2.0053585
      1.0849990 ,      -1.1469680 ,      -1.5341281
      1.0949990 ,      -0.4845495 ,      -1.0795886
      1.1049990 ,       0.1643069 ,      -0.6611173
      1.1149990 ,       0.7724072 ,      -0.2959498
      1.1249990 ,       1.3148604 ,       0.0017591
      1.1349990 ,       1.7703441 ,       0.2216752
      1.1449990 ,       2.1221423 ,       0.3577828
      1.1549990 ,       2.3589008 ,       0.4086144
      1.1649990 ,       2.4750628 ,       0.3772029
      1.1749990 ,       2.4709671 ,       0.2707646
      1.1849990 ,       2.3526140 ,       0.1001373
      1.1949990 ,       2.1311207 ,      -0.1209864
      1.2049990 ,       1.8219074 ,      -0.3769767
      1.2149990 ,       1.4436733 ,      -0.6512780
      1.2249990 ,       1.0172261 ,      -0.9274437
      1.2349990 ,       0.5642435 ,      -1.1901334
      1.2449990 ,       0.1060409 ,      -1.4260059
      1.2549990 ,      -0.3375807 ,      -1.6244572
      1.2649990 ,      -0.7493393 ,      -1.7781580
      1.2749990 ,      -1.1152745 ,      -1.8833622
      1.2849990 ,      -1.4253082 ,      -1.9399725
      1.2949990 ,      -1.6735375 ,      -1.9513643
      1.3049990 ,      -1.8582554 ,      -1.9239869
      1.3149990 ,      -1.9817094 ,      -1.8667733
      1.3249990 ,      -2.0496259 ,      -1.7904027
      1.3349990 ,      -2.0705420 ,      -1.7064688
      1.3449990 ,      -2.0549975 ,      -1.6266123
      1.3549990 ,      -2.0146472 ,      -1.5616763
      1.3649990 ,      -1.9613552 ,      -1.5209421
      1.3749990 ,      -1.9063353 ,      -1.5114951
      1.3849990 ,      -1.8593919 ,      -1.5377628
      1.3949990 ,      -1.8283098 ,      -1.6012508
      1.4049990 ,      -1.8184296 ,      -1.7004943
      1.4149990 ,      -1.8324284 ,      -1.8312215
      1.4249990 ,      -1.8703147 ,      -1.9867166
      1.4349990 ,      -1.9296274 ,      -2.1583510
      1.4449990 ,      -2.0058164 ,      -2.3362452
      1.4549990 ,      -2.0927702 ,      -2.5100110
      1.4649990 ,      -2.1834439 ,      -2.6695216
      1.4749990 ,      -2.2705382 ,      -2.8056531
      1.4849990 ,      -2.3471744 ,      -2.9109459
      1.4949990 ,      -2.4075127 ,      -2.9801377
      1.5049990 ,      -2.4472667 ,      -3.0105318
      1.5149990 ,      -2.4640743 ,      -3.0021726
      1.5249990 ,      -2.4576972 ,      -2.9578183
      1.5349990 ,      -2.4300343 ,      -2.8827102
      1.5449990 ,      -2.3849460 ,      -2.7841560
      1.5549990 ,      -2.3279065 ,      -2.6709563
      1.5649990 ,      -2.2655060 ,      -2.5527138
      1.5749990 ,      -2.2048444 ,      -2.4390754
      1.5849990 ,      -2.1528610 ,      -2.3389600
      1.5949990 ,      -2.1156527 ,      -2.2598288
      1.6049990 ,      -2.0978346 ,      -2.2070498
      1.6149990 ,      -2.1019943 ,      -2.1834054
      1.6249990 ,      -2.1282859 ,      -2.1887801
      1.6349990 ,      -2.1742005 ,      -2.2200544
      1.6449990 ,      -2.2345374 ,      -2.2712180
      1.6549990 ,      -2.3015875 ,      -2.3336979
      1.6649990 ,      -2.3655238 ,      -2.3968866
      1.6749990 ,      -2.4149818 ,      -2.4488360
      1.6849990 ,      -2.4377942 ,      -2.4770760
      1.6949990 ,      -2.4218368 ,      -2.4695047
      1.7049990 ,      -2.3559303 ,      -2.4152904
      1.7149990 ,      -2.2307380 ,      -2.3057265
      1.7249990 ,      -2.0395974 ,      -2.1349794
      1.7349990 ,      -1.7792254 ,      -1.9006769
      1.7449990 ,      -1.4502445 ,      -1.6042928
      1.7549990 ,      -1.0574855 ,      -1.2512969
      1.7649990 ,      -0.6100366 ,      -0.8510529
      1.7749990 ,      -0.1210241 ,      -0.4164635
      1.7849990 ,       0.3928737 ,       0.0366224
      1.7949990 ,       0.9121605 ,       0.4902090
      1.8049990 ,       1.4154673 ,       0.9251165
      1.8149990 ,       1.8806614 ,       1.3220498
      1.8249990 ,       2.2860548 ,       1.6627114
      1.8349990 ,       2.6116431 ,       1.9308900
      1.8449990 ,       2.8403023 ,       2.1134578
      1.8549990 ,       2.9588675 ,       2.2012140
      1.8649990 ,       2.9590274 ,       2.1895191
      1.8749990 ,       2.8379749 ,       2.0786796
      1.8849990 ,       2.5987680 ,       1.8740522
      1.8949990 ,       2.2503721 ,       1.5858595
      1.9049990 ,       1.8073713 ,       1.2287207
      1.9149990 ,       1.2893597 ,       0.8209229
      1.9249990 ,       0.7200372 ,       0.3834710
      1.9349990 ,       0.1260578 ,      -0.0610297
      1.9449990 ,      -0.4643106 ,      -0.4895943
      1.9549980 ,      -1.0225866 ,      -0.8800756
      1.9649980 ,      -1.5217841 ,      -1.2125302
      1.9749980 ,      -1.9375105 ,      -1.4700816
      1.9849980 ,      -2.2495009 ,      -1.6400069
      1.9949980 ,      -2.4426568 ,      -1.7143866
      2.0049980 ,      -2.5078691 ,      -1.6905207
      2.0149980 ,      -2.4425194 ,      -1.5710464
      2.0249980 ,      -2.2506270 ,      -1.3637475
      2.0349980 ,      -1.9426321 ,      -1.0810666
      2.0449980 ,      -1.5348235 ,      -0.7393495
      2.0549980 ,      -1.0484427 ,      -0.3578645
      2.0649980 ,      -0.5085123 ,       0.0423444
      2.0749980 ,       0.0575440 ,       0.4397026
      2.0849980 ,       0.6214146 ,       0.8133757
      2.0949980 ,       1.1554575 ,       1.1444892
      2.1049980 ,       1.6342165 ,       1.4172248
      2.1149980 ,       2.0358074 ,       1.6197298
      2.1249980 ,       2.3430964 ,       1.7447838
      2.1349980 ,       2.5446031 ,       1.7901843
      2.1449980 ,       2.6350762 ,       1.7588286
      2.1549980 ,       2.6157111 ,       1.6584869
      2.1649980 ,       2.4939950 ,       1.5012812
      2.1749980 ,       2.2831923 ,       1.3029015
      2.1849980 ,       2.0014983 ,       1.0816055
      2.1949980 ,       1.6709126 ,       0.8570637
      2.2049980 ,       1.3158978 ,       0.6491166
      2.2149980 ,       0.9619014 ,       0.4765212
      2.2249980 ,       0.6338275 ,       0.3557594
      2.2349980 ,       0.3545466 ,       0.2999811
      2.2449980 ,       0.1435308 ,       0.3181448
      2.2549980 ,       0.0156922 ,       0.4144065
      2.2649980 ,      -0.0195074 ,       0.5877955
      2.2749980 ,       0.0413753 ,       0.8321940
      2.2849980 ,       0.1955507 ,       1.1366260
      2.2949980 ,       0.4341489 ,       1.4858353
      2.3049980 ,       0.7427281 ,       1.8611228
      2.3149980 ,       1.1021107 ,       2.2413924
      2.3249980 ,       1.4894967 ,       2.6043459
      2.3349980 ,       1.8797907 ,       2.9277577
      2.3449980 ,       2.2470655 ,       3.1907560
      2.3549980 ,       2.5660782 ,       3.3750361
      2.3649980 ,       2.8137509 ,       3.4659367
      2.3749980 ,       2.9705327 ,       3.4533180
      2.3849980 ,       3.0215644 ,       3.3321901
      2.3949980 ,       2.9575798 ,       3.1030586
      2.4049980 ,       2.7754933 ,       2.7719660
      2.4149980 ,       2.4786412 ,       2.3502283
      2.4249980 ,       2.0766626 ,       1.8538823
      2.4349980 ,       1.5850287 ,       1.3028744
      2.4449980 ,       1.0242472 ,       0.7200373
      2.4549980 ,       0.4187862 ,       0.1299129
      2.4649980 ,      -0.2042198 ,      -0.4425147
      2.4749980 ,      -0.8164112 ,      -0.9731057
      2.4849980 ,      -1.3897108 ,      -1.4397989
      2.4949980 ,      -1.8978146 ,      -1.8237301
      2.5049980 ,      -2.3175841 ,      -2.1101735
      2.5149980 ,      -2.6302651 ,      -2.2892574
      2.5249980 ,      -2.8224684 ,      -2.3564203
      2.5349980 ,      -2.8868601 ,      -2.3125846
      2.5449980 ,      -2.8225273 ,      -2.1640449
      2.5549980 ,      -2.6350036 ,      -1.9220795
      2.5649980 ,      -2.3359542 ,      -1.6023120
      2.5749980 ,      -1.9425437 ,      -1.2238614
      2.5849980 ,      -1.4765226 ,      -0.8083280
      2.5949980 ,      -0.9630842 ,      -0.3786737
      2.6049980 ,      -0.4295570 ,       0.0419436
      2.6149980 ,       0.0959977 ,       0.4313190
      2.6249980 ,       0.5862072 ,       0.7692754
      2.6349980 ,       1.0157532 ,       1.0386076
      2.6449980 ,       1.3626128 ,       1.2258548
      2.6549980 ,       1.6091112 ,       1.3218629
      2.6649980 ,       1.7427373 ,       1.3221180
      2.6749980 ,       1.7566839 ,       1.2268394
      2.6849980 ,       1.6500915 ,       1.0408375
      2.6949980 ,       1.4279908 ,       0.7731507
      2.7049980 ,       1.1009530 ,       0.4364898
      2.7149980 ,       0.6844751 ,       0.0465249
      2.7249980 ,       0.1981368 ,      -0.3789436
      2.7349980 ,      -0.3354206 ,      -0.8208819
      2.7449980 ,      -0.8916381 ,      -1.2599420
      2.7549980 ,      -1.4452434 ,      -1.6773551
      2.7649980 ,      -1.9714551 ,      -2.0557576
      2.7749980 ,      -2.4471266 ,      -2.3799129
      2.7849980 ,      -2.8517764 ,      -2.6372996
      2.7949980 ,      -3.1684568 ,      -2.8185461
      2.8049980 ,      -3.3844274 ,      -2.9176986
      2.8149980 ,      -3.4916073 ,      -2.9323221
      2.8249980 ,      -3.4867936 ,      -2.8634400
      2.8349980 ,      -3.3716470 ,      -2.7153253
      2.8449980 ,      -3.1524551 ,      -2.4951659
      2.8549980 ,      -2.8396956 ,      -2.2126265
      2.8649980 ,      -2.4474303 ,      -1.8793374
      2.8749980 ,      -1.9925666 ,      -1.5083376
      2.8849980 ,      -1.4940279 ,      -1.1135014
      2.8949980 ,      -0.9718768 ,      -0.7089753
      2.9049980 ,      -0.4464336 ,      -0.3086472
      2.9149980 ,       0.0625706 ,       0.0743310
      2.9249980 ,       0.5367678 ,       0.4279561
      2.9349980 ,       0.9598278 ,       0.7417091
      2.9449980 ,       1.3180070 ,       1.0068126
      2.9549980 ,       1.6005595 ,       1.2164063
      2.9649980 ,       1.8000001 ,       1.3656468
      2.9749980 ,       1.9122207 ,       1.4517379
      2.9849980 ,       1.9364655 ,       1.4738970
      2.9949980 ,       1.8751772 ,       1.4332707
      3.0049970 ,       1.7337493 ,       1.3328184
      3.0149970 ,       1.5201025 ,       1.1771021
      3.0249970 ,       1.2443416 ,       0.9721564
      3.0349970 ,       0.9182276 ,       0.7252407
      3.0449970 ,       0.5546828 ,       0.4446180
      3.0549970 ,       0.1672787 ,       0.1393113
      3.0649970 ,      -0.2302647 ,      -0.1811489
      3.0749970 ,      -0.6245533 ,      -0.5069879
      3.0849970 ,      -1.0029531 ,      -0.8284563
      3.0949970 ,      -1.3539755 ,      -1.1361048
      3.1049970 ,      -1.6676058 ,      -1.4210600
      3.1149970 ,      -1.9355699 ,      -1.6752960
      3.1249970 ,      -2.1515373 ,      -1.8918961
      3.1349970 ,      -2.3112573 ,      -2.0652944
      3.1449970 ,      -2.4126294 ,      -2.1914897
      3.1549970 ,      -2.4557076 ,      -2.2682180
      3.1649970 ,      -2.4426413 ,      -2.2950750
      3.1749970 ,      -2.3775525 ,      -2.2735754
      3.1849970 ,      -2.2663540 ,      -2.2071409
      3.1949970 ,      -2.1165103 ,      -2.1010090
      3.2049970 ,      -1.9367468 ,      -1.9620587
      3.2149970 ,      -1.7367121 ,      -1.7985520
      3.2249970 ,      -1.5266021 ,      -1.6197976
      3.2349970 ,      -1.3167536 ,      -1.4357431
      3.2449970 ,      -1.1172201 ,      -1.2565130
      3.2549970 ,      -0.9373425 ,      -1.0919079
      3.2649970 ,      -0.7853299 ,      -0.9508900
      3.2749970 ,      -0.6678669 ,      -0.8410787
      3.2849970 ,      -0.5897650 ,      -0.7682840
      3.2949970 ,      -0.5536753 ,      -0.7361043
      3.3049970 ,      -0.5598791 ,      -0.7456148
      3.3149970 ,      -0.6061720 ,      -0.7951694
      3.3249970 ,      -0.6878516 ,      -0.8803328
      3.3349970 ,      -0.7978193 ,      -0.9939559
      3.3449970 ,      -0.9267980 ,      -1.1263996
      3.3549970 ,      -1.0636640 ,      -1.2659023
      3.3649970 ,      -1.1958867 ,      -1.3990823
      3.3749970 ,      -1.3100599 ,      -1.5115536
      3.3849970 ,      -1.3925087 ,      -1.5886307
      3.3949970 ,      -1.4299436 ,      -1.6160884
      3.4049970 ,      -1.4101371 ,      -1.5809393
