       Q,      F(Q)_RMC,  F(Q)_Expt
      0.5049998 ,      -3.5100006 ,      -2.7585823
      0.5149998 ,      -3.7329388 ,      -3.1477114
      0.5249998 ,      -3.8521715 ,      -3.4442068
      0.5349998 ,      -3.8621761 ,      -3.6417015
      0.5449998 ,      -3.7648327 ,      -3.7401767
      0.5549998 ,      -3.5691338 ,      -3.7456916
      0.5649998 ,      -3.2904394 ,      -3.6697353
      0.5749997 ,      -2.9493392 ,      -3.5282565
      0.5849997 ,      -2.5701804 ,      -3.3404308
      0.5949997 ,      -2.1794132 ,      -3.1272769
      0.6049997 ,      -1.8037970 ,      -2.9101850
      0.6149997 ,      -1.4686337 ,      -2.7094761
      0.6249997 ,      -1.1961208 ,      -2.5430767
      0.6349997 ,      -1.0039332 ,      -2.4253936
      0.6449997 ,      -0.9041206 ,      -2.3664573
      0.6549997 ,      -0.9023864 ,      -2.3713836
      0.6649997 ,      -0.9977901 ,      -2.4401806
      0.6749997 ,      -1.1828869 ,      -2.5679067
      0.6849996 ,      -1.4442864 ,      -2.7451586
      0.6949996 ,      -1.7636070 ,      -2.9588612
      0.7049996 ,      -2.1187201 ,      -3.1932744
      0.7149996 ,      -2.4852515 ,      -3.4311791
      0.7249996 ,      -2.8382047 ,      -3.6551350
      0.7349996 ,      -3.1536153 ,      -3.8487348
      0.7449996 ,      -3.4101257 ,      -3.9977689
      0.7549996 ,      -3.5903814 ,      -4.0912232
      0.7649996 ,      -3.6821598 ,      -4.1220453
      0.7749996 ,      -3.6791603 ,      -4.0876305
      0.7849995 ,      -3.5814098 ,      -3.9899991
      0.7949995 ,      -3.3952505 ,      -3.8356477
      0.8049995 ,      -3.1329307 ,      -3.6351057
      0.8149995 ,      -2.8118062 ,      -3.4022061
      0.8249995 ,      -2.4532174 ,      -3.1531374
      0.8349995 ,      -2.0811095 ,      -2.9053333
      0.8449995 ,      -1.7204853 ,      -2.6762780
      0.8549995 ,      -1.3957883 ,      -2.4823043
      0.8649995 ,      -1.1293173 ,      -2.3374666
      0.8749995 ,      -0.9397736 ,      -2.2525605
      0.8849995 ,      -0.8410301 ,      -2.2343550
      0.8949994 ,      -0.8411987 ,      -2.2850860
      0.9049994 ,      -0.9420560 ,      -2.4022479
      0.9149994 ,      -1.1388593 ,      -2.5786885
      0.9249994 ,      -1.4205644 ,      -2.8030102
      0.9349994 ,      -1.7704332 ,      -3.0602465
      0.9449994 ,      -2.1669913 ,      -3.3327713
      0.9549994 ,      -2.5852773 ,      -3.6013830
      0.9649994 ,      -2.9983072 ,      -3.8464948
      0.9749994 ,      -3.3786642 ,      -4.0493544
      0.9849994 ,      -3.7001179 ,      -4.1932173
      0.9949993 ,      -3.9391735 ,      -4.2643983
      1.0049990 ,      -4.0764690 ,      -4.2531414
      1.0149990 ,      -4.0979217 ,      -4.1542367
      1.0249990 ,      -3.9955518 ,      -3.9673736
      1.0349990 ,      -3.7679812 ,      -3.6971892
      1.0449990 ,      -3.4205267 ,      -3.3530167
      1.0549990 ,      -2.9649144 ,      -2.9483507
      1.0649990 ,      -2.4186287 ,      -2.5000653
      1.0749990 ,      -1.8039409 ,      -2.0274344
      1.0849990 ,      -1.1466753 ,      -1.5510166
      1.0949990 ,      -0.4747909 ,      -1.0914733
      1.1049990 ,       0.1831380 ,      -0.6683952
      1.1149990 ,       0.7994502 ,      -0.2992078
      1.1249990 ,       1.3488477 ,       0.0017785
      1.1349990 ,       1.8096837 ,       0.2241156
      1.1449990 ,       2.1650175 ,       0.3617215
      1.1549990 ,       2.4033800 ,       0.4131126
      1.1649990 ,       2.5192123 ,       0.3813553
      1.1749990 ,       2.5129607 ,       0.2737454
      1.1849990 ,       2.3908318 ,       0.1012396
      1.1949990 ,       2.1642310 ,      -0.1223182
      1.2049990 ,       1.8489287 ,      -0.3811267
      1.2149990 ,       1.4640110 ,      -0.6584476
      1.2249990 ,       1.0306848 ,      -0.9376535
      1.2349990 ,       0.5710132 ,      -1.2032350
      1.2449990 ,       0.1066595 ,      -1.4417041
      1.2549990 ,      -0.3422844 ,      -1.6423400
      1.2649990 ,      -0.7583188 ,      -1.7977328
      1.2749990 ,      -1.1273490 ,      -1.9040952
      1.2849990 ,      -1.4392501 ,      -1.9613287
      1.2949990 ,      -1.6881581 ,      -1.9728459
      1.3049990 ,      -1.8724833 ,      -1.9451671
      1.3149990 ,      -1.9946559 ,      -1.8873236
      1.3249990 ,      -2.0606343 ,      -1.8101123
      1.3349990 ,      -2.0792170 ,      -1.7252544
      1.3449990 ,      -2.0612143 ,      -1.6445188
      1.3549990 ,      -2.0185395 ,      -1.5788680
      1.3649990 ,      -1.9632850 ,      -1.5376853
      1.3749990 ,      -1.9068460 ,      -1.5281344
      1.3849990 ,      -1.8591492 ,      -1.5546912
      1.3949990 ,      -1.8280363 ,      -1.6188781
      1.4049990 ,      -1.8188358 ,      -1.7192141
      1.4149990 ,      -1.8341482 ,      -1.8513805
      1.4249990 ,      -1.8738484 ,      -2.0085873
      1.4349990 ,      -1.9352969 ,      -2.1821112
      1.4449990 ,      -2.0137366 ,      -2.3619637
      1.4549990 ,      -2.1028374 ,      -2.5376424
      1.4649990 ,      -2.1953435 ,      -2.6989090
      1.4749990 ,      -2.2837697 ,      -2.8365391
      1.4849990 ,      -2.3610927 ,      -2.9429909
      1.4949990 ,      -2.4213819 ,      -3.0129445
      1.5049990 ,      -2.4603225 ,      -3.0436732
      1.5149990 ,      -2.4755904 ,      -3.0352220
      1.5249990 ,      -2.4670502 ,      -2.9903794
      1.5349990 ,      -2.4367615 ,      -2.9144444
      1.5449990 ,      -2.3887936 ,      -2.8148053
      1.5549990 ,      -2.3288606 ,      -2.7003594
      1.5649990 ,      -2.2638074 ,      -2.5808152
      1.5749990 ,      -2.2009825 ,      -2.4659259
      1.5849990 ,      -2.1475486 ,      -2.3647084
      1.5949990 ,      -2.1097814 ,      -2.2847061
      1.6049990 ,      -2.0924147 ,      -2.2313461
      1.6149990 ,      -2.0980821 ,      -2.2074414
      1.6249990 ,      -2.1269037 ,      -2.2128752
      1.6349990 ,      -2.1762544 ,      -2.2444938
      1.6449990 ,      -2.2407393 ,      -2.2962206
      1.6549990 ,      -2.3123865 ,      -2.3593884
      1.6649990 ,      -2.3810524 ,      -2.4232727
      1.6749990 ,      -2.4350215 ,      -2.4757939
      1.6849990 ,      -2.4617631 ,      -2.5043448
      1.6949990 ,      -2.4488022 ,      -2.4966902
      1.7049990 ,      -2.3846453 ,      -2.4418791
      1.7149990 ,      -2.2597016 ,      -2.3311091
      1.7249990 ,      -2.0671346 ,      -2.1584823
      1.7349990 ,      -1.8035836 ,      -1.9216005
      1.7449990 ,      -1.4696999 ,      -1.6219536
      1.7549990 ,      -1.0704535 ,      -1.2650718
      1.7649990 ,      -0.6151793 ,      -0.8604217
      1.7749990 ,      -0.1173479 ,      -0.4210481
      1.7849990 ,       0.4059367 ,       0.0370255
      1.7949990 ,       0.9346929 ,       0.4956054
      1.8049990 ,       1.4470340 ,       0.9353006
      1.8149990 ,       1.9203059 ,       1.3366035
      1.8249990 ,       2.3323262 ,       1.6810153
      1.8349990 ,       2.6626538 ,       1.9521462
      1.8449990 ,       2.8938126 ,       2.1367238
      1.8549990 ,       3.0123939 ,       2.2254460
      1.8649990 ,       3.0099690 ,       2.2136224
      1.8749990 ,       2.8837499 ,       2.1015627
      1.8849990 ,       2.6369543 ,       1.8946827
      1.8949990 ,       2.2788423 ,       1.6033174
      1.9049990 ,       1.8244157 ,       1.2422471
      1.9149990 ,       1.2937887 ,       0.8299600
      1.9249990 ,       0.7112577 ,       0.3876924
      1.9349990 ,       0.1041184 ,      -0.0617016
      1.9449990 ,      -0.4987085 ,      -0.4949840
      1.9549980 ,      -1.0681122 ,      -0.8897639
      1.9649980 ,      -1.5765396 ,      -1.2258783
      1.9749980 ,      -1.9991178 ,      -1.4862649
      1.9849980 ,      -2.3152208 ,      -1.6580609
      1.9949980 ,      -2.5095274 ,      -1.7332594
      2.0049980 ,      -2.5728571 ,      -1.7091307
      2.0149980 ,      -2.5026771 ,      -1.5883413
      2.0249980 ,      -2.3032447 ,      -1.3787603
      2.0349980 ,      -1.9853792 ,      -1.0929675
      2.0449980 ,      -1.5658689 ,      -0.7474886
      2.0549980 ,      -1.0665491 ,      -0.3618040
      2.0649980 ,      -0.5130982 ,       0.0428105
      2.0749980 ,       0.0663774 ,       0.4445430
      2.0849980 ,       0.6428929 ,       0.8223298
      2.0949980 ,       1.1881793 ,       1.1570883
      2.1049980 ,       1.6762325 ,       1.4328263
      2.1149980 ,       2.0847283 ,       1.6375605
      2.1249980 ,       2.3962237 ,       1.7639912
      2.1349980 ,       2.5990751 ,       1.8098916
      2.1449980 ,       2.6880214 ,       1.7781907
      2.1549980 ,       2.6643996 ,       1.6767443
      2.1649980 ,       2.5359806 ,       1.5178080
      2.1749980 ,       2.3164369 ,       1.3172444
      2.1849980 ,       2.0244722 ,       1.0935123
      2.1949980 ,       1.6826650 ,       0.8664986
      2.2049980 ,       1.3160950 ,       0.6562624
      2.2149980 ,       0.9508295 ,       0.4817670
      2.2249980 ,       0.6123614 ,       0.3596757
      2.2349980 ,       0.3240872 ,       0.3032834
      2.2449980 ,       0.1059136 ,       0.3216470
      2.2549980 ,      -0.0269258 ,       0.4189685
      2.2649980 ,      -0.0647766 ,       0.5942662
      2.2749980 ,      -0.0041401 ,       0.8413552
      2.2849980 ,       0.1521125 ,       1.1491385
      2.2949980 ,       0.3949002 ,       1.5021920
      2.3049980 ,       0.7094553 ,       1.8816109
