       Q,      F(Q)_RMC,  F(Q)_Expt
      0.5049998 ,      -3.8672408 ,      -2.9603784
      0.5149998 ,      -4.1009318 ,      -3.3061678
      0.5249998 ,      -4.2032142 ,      -3.5626052
      0.5349998 ,      -4.1704917 ,      -3.7270437
      0.5449998 ,      -4.0083781 ,      -3.8027093
      0.5549998 ,      -3.7310980 ,      -3.7982126
      0.5649998 ,      -3.3603366 ,      -3.7267260
      0.5749997 ,      -2.9236277 ,      -3.6048925
      0.5849997 ,      -2.4523693 ,      -3.4515363
      0.5949997 ,      -1.9796685 ,      -3.2862869
      0.6049997 ,      -1.5380748 ,      -3.1281849
      0.6149997 ,      -1.1574136 ,      -2.9943817
      0.6249997 ,      -0.8628357 ,      -2.8990091
      0.6349997 ,      -0.6732114 ,      -2.8522932
      0.6449997 ,      -0.5999662 ,      -2.8599657
      0.6549997 ,      -0.6464303 ,      -2.9230047
      0.6649997 ,      -0.8077336 ,      -3.0377161
      0.6749997 ,      -1.0712469 ,      -3.1961416
      0.6849996 ,      -1.4175282 ,      -3.3867571
      0.6949996 ,      -1.8217272 ,      -3.5954201
      0.7049996 ,      -2.2552962 ,      -3.8064657
      0.7149996 ,      -2.6879616 ,      -4.0039138
      0.7249996 ,      -3.0897718 ,      -4.1726710
      0.7349996 ,      -3.4331077 ,      -4.2996579
      0.7449996 ,      -3.6945199 ,      -4.3747817
      0.7549996 ,      -3.8562742 ,      -4.3916871
      0.7649996 ,      -3.9075072 ,      -4.3482376
      0.7749996 ,      -3.8449196 ,      -4.2466943
      0.7849995 ,      -3.6729673 ,      -4.0935837
      0.7949995 ,      -3.4035294 ,      -3.8992556
      0.8049995 ,      -3.0551070 ,      -3.6771854
      0.8149995 ,      -2.6515720 ,      -3.4430402
      0.8249995 ,      -2.2205747 ,      -3.2135931
      0.8349995 ,      -1.7917052 ,      -3.0055531
      0.8449995 ,      -1.3945314 ,      -2.8343895
      0.8549995 ,      -1.0566394 ,      -2.7132319
      0.8649995 ,      -0.8018032 ,      -2.6519194
      0.8749995 ,      -0.6484005 ,      -2.6562633
      0.8849995 ,      -0.6081747 ,      -2.7275724
      0.8949994 ,      -0.6854212 ,      -2.8624732
      0.9049994 ,      -0.8766525 ,      -3.0530459
      0.9149994 ,      -1.1707505 ,      -3.2872466
      0.9249994 ,      -1.5496078 ,      -3.5496170
      0.9349994 ,      -1.9892089 ,      -3.8222166
      0.9449994 ,      -2.4610830 ,      -4.0857246
      0.9549994 ,      -2.9340369 ,      -4.3206407
      0.9649994 ,      -3.3760581 ,      -4.5085060
      0.9749994 ,      -3.7562697 ,      -4.6330683
      0.9849994 ,      -4.0468152 ,      -4.6813152
      0.9949993 ,      -4.2245566 ,      -4.6443125
      1.0049990 ,      -4.2724917 ,      -4.5177945
      1.0149990 ,      -4.1807812 ,      -4.3024506
      1.0249990 ,      -3.9473516 ,      -4.0039450
      1.0349990 ,      -3.5780386 ,      -3.6326003
      1.0449990 ,      -3.0862486 ,      -3.2028132
      1.0549990 ,      -2.4921793 ,      -2.7322236
      1.0649990 ,      -1.8216449 ,      -2.2406937
      1.0749990 ,      -1.1045864 ,      -1.7491617
      1.0849990 ,      -0.3733567 ,      -1.2784414
      1.0949990 ,       0.3391095 ,      -0.8480445
      1.1049990 ,       1.0011316 ,      -0.4750963
      1.1149990 ,       1.5840122 ,      -0.1734121
      1.1249990 ,       2.0635594 ,       0.0472118
      1.1349990 ,       2.4213142 ,       0.1814516
      1.1449990 ,       2.6454154 ,       0.2286305
      1.1549990 ,       2.7310588 ,       0.1926082
      1.1649990 ,       2.6805330 ,       0.0813988
      1.1749990 ,       2.5028404 ,      -0.0934540
      1.1849990 ,       2.2129373 ,      -0.3176989
      1.1949990 ,       1.8306518 ,      -0.5753410
      1.2049990 ,       1.3793527 ,      -0.8496813
      1.2149990 ,       0.8844612 ,      -1.1243658
      1.2249990 ,       0.3719001 ,      -1.3843747
      1.2349990 ,      -0.1334205 ,      -1.6168918
      1.2449990 ,      -0.6089888 ,      -1.8119986
      1.2549990 ,      -1.0358653 ,      -1.9631549
      1.2649990 ,      -1.3995814 ,      -2.0674398
      1.2749990 ,      -1.6907136 ,      -2.1255427
      1.2849990 ,      -1.9051117 ,      -2.1415147
      1.2949990 ,      -2.0437785 ,      -2.1223005
      1.3049990 ,      -2.1124245 ,      -2.0770918
      1.3149990 ,      -2.1207393 ,      -2.0165492
      1.3249990 ,      -2.0814390 ,      -1.9519489
      1.3349990 ,      -2.0091648 ,      -1.8943175
      1.3449990 ,      -1.9193101 ,      -1.8536118
      1.3549990 ,      -1.8268623 ,      -1.8380027
      1.3649990 ,      -1.7453350 ,      -1.8533085
      1.3749990 ,      -1.6858642 ,      -1.9026161
      1.3849990 ,      -1.6565234 ,      -1.9861111
      1.3949990 ,      -1.6618987 ,      -2.1011268
      1.4049990 ,      -1.7029445 ,      -2.2424018
      1.4149990 ,      -1.7771203 ,      -2.4025257
      1.4249990 ,      -1.8787889 ,      -2.5725377
      1.4349990 ,      -1.9998388 ,      -2.7426303
      1.4449990 ,      -2.1304769 ,      -2.9029077
      1.4549990 ,      -2.2601279 ,      -3.0441405
      1.4649990 ,      -2.3783697 ,      -3.1584625
      1.4749990 ,      -2.4758320 ,      -3.2399570
      1.4849990 ,      -2.5449901 ,      -3.2850919
      1.4949990 ,      -2.5807935 ,      -3.2929679
      1.5049990 ,      -2.5810827 ,      -3.2653657
      1.5149990 ,      -2.5467631 ,      -3.2065844
      1.5249990 ,      -2.4817225 ,      -3.1230851
      1.5349990 ,      -2.3924999 ,      -3.0229635
      1.5449990 ,      -2.2877290 ,      -2.9152898
      1.5549990 ,      -2.1774000 ,      -2.8093637
      1.5649990 ,      -2.0719938 ,      -2.7139401
      1.5749990 ,      -1.9815549 ,      -2.6364799
      1.5849990 ,      -1.9147745 ,      -2.5824858
      1.5949990 ,      -1.8781537 ,      -2.5549702
      1.6049990 ,      -1.8753144 ,      -2.5541010
      1.6149990 ,      -1.9065137 ,      -2.5770528
      1.6249990 ,      -1.9684045 ,      -2.6180819
      1.6349990 ,      -2.0540698 ,      -2.6688251
      1.6449990 ,      -2.1533349 ,      -2.7188072
      1.6549990 ,      -2.2533467 ,      -2.7561287
      1.6649990 ,      -2.3393868 ,      -2.7682895
      1.6749990 ,      -2.3958679 ,      -2.7430958
      1.6849990 ,      -2.4074506 ,      -2.6695903
      1.6949990 ,      -2.3602053 ,      -2.5389406
      1.7049990 ,      -2.2427401 ,      -2.3452259
      1.7149990 ,      -2.0472148 ,      -2.0860627
      1.7249990 ,      -1.7701668 ,      -1.7630231
      1.7349990 ,      -1.4130853 ,      -1.3818105
      1.7449990 ,      -0.9826853 ,      -0.9521722
      1.7549990 ,      -0.4908501 ,      -0.4875459
      1.7649990 ,       0.0457647 ,      -0.0044551
      1.7749990 ,       0.6064556 ,       0.4783175
      1.7849990 ,       1.1674872 ,       0.9407311
      1.7949990 ,       1.7033463 ,       1.3626056
      1.8049990 ,       2.1881631 ,       1.7247904
      1.8149990 ,       2.5972154 ,       2.0103116
      1.8249990 ,       2.9084247 ,       2.2054265
      1.8349990 ,       3.1037508 ,       2.3005175
      1.8449990 ,       3.1703966 ,       2.2907669
      1.8549990 ,       3.1017438 ,       2.1765663
      1.8649990 ,       2.8979549 ,       1.9636312
      1.8749990 ,       2.5661967 ,       1.6628059
      1.8849990 ,       2.1204626 ,       1.2895678
      1.8949990 ,       1.5809952 ,       0.8632532
      1.9049990 ,       0.9733347 ,       0.4060482
      1.9149990 ,       0.3270426 ,      -0.0581987
      1.9249990 ,      -0.3258312 ,      -0.5052740
      1.9349990 ,      -0.9524500 ,      -0.9119299
      1.9449990 ,      -1.5209654 ,      -1.2571703
      1.9549980 ,      -2.0022188 ,      -1.5233926
      1.9649980 ,      -2.3715364 ,      -1.6974585
      1.9749980 ,      -2.6098204 ,      -1.7712530
      1.9849980 ,      -2.7048251 ,      -1.7422275
      1.9949980 ,      -2.6517996 ,      -1.6134731
      2.0049980 ,      -2.4537635 ,      -1.3934966
      2.0149980 ,      -2.1213437 ,      -1.0956799
      2.0249980 ,      -1.6721798 ,      -0.7374541
      2.0349980 ,      -1.1299309 ,      -0.3392393
      2.0449980 ,      -0.5229388 ,       0.0767890
      2.0549980 ,       0.1173728 ,       0.4880315
      2.0649980 ,       0.7582733 ,       0.8728142
      2.0749980 ,       1.3675689 ,       1.2116755
      2.0849980 ,       1.9154084 ,       1.4885118
      2.0949980 ,       2.3759455 ,       1.6915141
      2.1049980 ,       2.7287607 ,       1.8138377
      2.1149980 ,       2.9599600 ,       1.8539663
      2.1249980 ,       3.0628868 ,       1.8157474
      2.1349980 ,       3.0384063 ,       1.7080978
      2.1449980 ,       2.8947479 ,       1.5443973
