       Q,      F(Q)_RMC,  F(Q)_Expt
      0.5049998 ,      -2.7853382 ,      -1.8670683
      0.5149998 ,      -2.8434299 ,      -2.1148054
      0.5249998 ,      -2.8541650 ,      -2.3028135
      0.5349998 ,      -2.8176502 ,      -2.4276273
      0.5449998 ,      -2.7372381 ,      -2.4898180
      0.5549998 ,      -2.6192422 ,      -2.4937788
      0.5649998 ,      -2.4724595 ,      -2.4472749
      0.5749997 ,      -2.3075382 ,      -2.3607918
      0.5849997 ,      -2.1362229 ,      -2.2467261
      0.5949997 ,      -1.9705551 ,      -2.1184886
      0.6049997 ,      -1.8220476 ,      -1.9895628
      0.6149997 ,      -1.7009128 ,      -1.8725934
      0.6249997 ,      -1.6153852 ,      -1.7785596
      0.6349997 ,      -1.5711827 ,      -1.7160858
      0.6449997 ,      -1.5711411 ,      -1.6909307
      0.6549997 ,      -1.6150437 ,      -1.7056858
      0.6649997 ,      -1.6996556 ,      -1.7596970
      0.6749997 ,      -1.8189594 ,      -1.8492104
      0.6849996 ,      -1.9645719 ,      -1.9677253
      0.6949996 ,      -2.1263244 ,      -2.1065354
      0.7049996 ,      -2.2929435 ,      -2.2553992
      0.7149996 ,      -2.4528174 ,      -2.4033150
      0.7249996 ,      -2.5947750 ,      -2.5393312
      0.7349996 ,      -2.7088350 ,      -2.6533414
      0.7449996 ,      -2.7868759 ,      -2.7368099
      0.7549996 ,      -2.8231813 ,      -2.7833813
      0.7649996 ,      -2.8148276 ,      -2.7893311
      0.7749996 ,      -2.7618874 ,      -2.7538307
      0.7849995 ,      -2.6674376 ,      -2.6790112
      0.7949995 ,      -2.5373645 ,      -2.5698165
      0.8049995 ,      -2.3799959 ,      -2.4336711
      0.8149995 ,      -2.2055613 ,      -2.2799693
      0.8249995 ,      -2.0255326 ,      -2.1194326
      0.8349995 ,      -1.8518785 ,      -1.9633732
      0.8449995 ,      -1.6962838 ,      -1.8229164
      0.8549995 ,      -1.5693821 ,      -1.7082303
      0.8649995 ,      -1.4800516 ,      -1.6278176
      0.8749995 ,      -1.4348172 ,      -1.5879132
      0.8849995 ,      -1.4373994 ,      -1.5920291
      0.8949994 ,      -1.4884351 ,      -1.6406761
      0.9049994 ,      -1.5853949 ,      -1.7312829
      0.9149994 ,      -1.7226909 ,      -1.8583112
      0.9249994 ,      -1.8919812 ,      -2.0135689
      0.9349994 ,      -2.0826440 ,      -2.1866947
      0.9449994 ,      -2.2823949 ,      -2.3657860
      0.9549994 ,      -2.4780103 ,      -2.5381294
      0.9649994 ,      -2.6561097 ,      -2.6909873
      0.9749994 ,      -2.8039523 ,      -2.8123911
      0.9849994 ,      -2.9101967 ,      -2.8918899
      0.9949993 ,      -2.9655791 ,      -2.9212093
      1.0049990 ,      -2.9634710 ,      -2.8947795
      1.0149990 ,      -2.9002741 ,      -2.8100902
      1.0249990 ,      -2.7756444 ,      -2.6678724
      1.0349990 ,      -2.5925227 ,      -2.4720739
      1.0449990 ,      -2.3569724 ,      -2.2296436
      1.0549990 ,      -2.0778386 ,      -1.9501346
      1.0649990 ,      -1.7662479 ,      -1.6451534
      1.0749990 ,      -1.4349829 ,      -1.3276905
      1.0849990 ,      -1.0977681 ,      -1.0113726
      1.0949990 ,      -0.7685119 ,      -0.7096855
      1.1049990 ,      -0.4605508 ,      -0.4352141
      1.1149990 ,      -0.1859386 ,      -0.1989466
      1.1249990 ,       0.0451753 ,      -0.0096845
      1.1349990 ,       0.2250455 ,       0.1264074
      1.1449990 ,       0.3486791 ,       0.2060844
      1.1549990 ,       0.4140172 ,       0.2291254
      1.1649990 ,       0.4219415 ,       0.1982532
      1.1749990 ,       0.3761104 ,       0.1188789
      1.1849990 ,       0.2826388 ,      -0.0013085
      1.1949990 ,       0.1496456 ,      -0.1528799
      1.2049990 ,      -0.0133002 ,      -0.3252934
      1.2149990 ,      -0.1957972 ,      -0.5075710
      1.2249990 ,      -0.3872543 ,      -0.6889810
      1.2349990 ,      -0.5775165 ,      -0.8596808
      1.2449990 ,      -0.7574369 ,      -1.0112831
      1.2549990 ,      -0.9193594 ,      -1.1373089
      1.2649990 ,      -1.0574866 ,      -1.2335029
      1.2749990 ,      -1.1681122 ,      -1.2979926
      1.2849990 ,      -1.2497087 ,      -1.3312876
      1.2949990 ,      -1.3028699 ,      -1.3361206
      1.3049990 ,      -1.3301178 ,      -1.3171472
      1.3149990 ,      -1.3355909 ,      -1.2805266
      1.3249990 ,      -1.3246398 ,      -1.2334148
      1.3349990 ,      -1.3033601 ,      -1.1834071
      1.3449990 ,      -1.2780973 ,      -1.1379683
      1.3549990 ,      -1.2549575 ,      -1.1038893
      1.3649990 ,      -1.2393584 ,      -1.0868083
      1.3749990 ,      -1.2356501 ,      -1.0908256
      1.3849990 ,      -1.2468303 ,      -1.1182390
      1.3949990 ,      -1.2743704 ,      -1.1694141
      1.4049990 ,      -1.3181629 ,      -1.2427972
      1.4149990 ,      -1.3765895 ,      -1.3350656
      1.4249990 ,      -1.4467021 ,      -1.4414043
      1.4349990 ,      -1.5245003 ,      -1.5558863
      1.4449990 ,      -1.6052842 ,      -1.6719280
      1.4549990 ,      -1.6840526 ,      -1.7827868
      1.4649990 ,      -1.7559178 ,      -1.8820640
      1.4749990 ,      -1.8165046 ,      -1.9641774
      1.4849990 ,      -1.8623037 ,      -2.0247687
      1.4949990 ,      -1.8909527 ,      -2.0610181
      1.5049990 ,      -1.9014241 ,      -2.0718410
      1.5149990 ,      -1.8941044 ,      -2.0579557
      1.5249990 ,      -1.8707601 ,      -2.0218144
      1.5349990 ,      -1.8343907 ,      -1.9674034
      1.5449990 ,      -1.7889799 ,      -1.8999268
      1.5549990 ,      -1.7391616 ,      -1.8253944
      1.5649990 ,      -1.6898267 ,      -1.7501449
      1.5749990 ,      -1.6456977 ,      -1.6803365
      1.5849990 ,      -1.6109035 ,      -1.6214440
      1.5949990 ,      -1.5885870 ,      -1.5777956
      1.6049990 ,      -1.5805750 ,      -1.5521879
      1.6149990 ,      -1.5871375 ,      -1.5456043
      1.6249990 ,      -1.6068573 ,      -1.5570627
      1.6349990 ,      -1.6366233 ,      -1.5836040
      1.6449990 ,      -1.6717525 ,      -1.6204280
      1.6549990 ,      -1.7062366 ,      -1.6611687
      1.6649990 ,      -1.7331019 ,      -1.6982962
      1.6749990 ,      -1.7448595 ,      -1.7236181
      1.6849990 ,      -1.7340210 ,      -1.7288516
      1.6949990 ,      -1.6936434 ,      -1.7062266
      1.7049990 ,      -1.6178706 ,      -1.6490819
      1.7149990 ,      -1.5024322 ,      -1.5524124
      1.7249990 ,      -1.3450655 ,      -1.4133295
      1.7349990 ,      -1.1458293 ,      -1.2314019
      1.7449990 ,      -0.9072843 ,      -1.0088495
      1.7549990 ,      -0.6345233 ,      -0.7505738
      1.7649990 ,      -0.3350426 ,      -0.4640168
      1.7749990 ,      -0.0184574 ,      -0.1588526
      1.7849990 ,       0.3039278 ,       0.1534735
      1.7949990 ,       0.6196717 ,       0.4603348
      1.8049990 ,       0.9158416 ,       0.7486078
      1.8149990 ,       1.1797161 ,       1.0054117
      1.8249990 ,       1.3995028 ,       1.2188597
      1.8349990 ,       1.5650299 ,       1.3787738
      1.8449990 ,       1.6683671 ,       1.4773216
      1.8549990 ,       1.7043393 ,       1.5095316
      1.8649990 ,       1.6708969 ,       1.4736563
      1.8749990 ,       1.5693197 ,       1.3713546
      1.8849990 ,       1.4042373 ,       1.2076827
      1.8949990 ,       1.1834603 ,       0.9908877
      1.9049990 ,       0.9176303 ,       0.7320146
      1.9149990 ,       0.6197032 ,       0.4443464
      1.9249990 ,       0.3042949 ,       0.1427088
      1.9349990 ,      -0.0130754 ,      -0.1573231
      1.9449990 ,      -0.3168027 ,      -0.4402675
      1.9549980 ,      -0.5920012 ,      -0.6915584
      1.9649980 ,      -0.8254079 ,      -0.8984413
      1.9749980 ,      -1.0059324 ,      -1.0505232
      1.9849980 ,      -1.1253643 ,      -1.1404442
      1.9949980 ,      -1.1787806 ,      -1.1642466
      2.0049980 ,      -1.1647972 ,      -1.1215758
      2.0149980 ,      -1.0856213 ,      -1.0156743
      2.0249980 ,      -0.9469001 ,      -0.8531675
      2.0349980 ,      -0.7573740 ,      -0.6436557
      2.0449980 ,      -0.5283532 ,      -0.3991330
      2.0549980 ,      -0.2730495 ,      -0.1332703
      2.0649980 ,      -0.0057989 ,       0.1393979
      2.0749980 ,       0.2587762 ,       0.4043326
      2.0849980 ,       0.5066193 ,       0.6478454
      2.0949980 ,       0.7250545 ,       0.8578990
      2.1049980 ,       0.9035170 ,       1.0248045
      2.1149980 ,       1.0341562 ,       1.1417755
      2.1249980 ,       1.1122752 ,       1.2053042
      2.1349980 ,       1.1365813 ,       1.2153397
      2.1449980 ,       1.1092329 ,       1.1752552
      2.1549980 ,       1.0356790 ,       1.0916091
      2.1649980 ,       0.9243020 ,       0.9737123
      2.1749980 ,       0.7858837 ,       0.8330289
      2.1849980 ,       0.6329267 ,       0.6824465
      2.1949980 ,       0.4788711 ,       0.5354587
      2.2049980 ,       0.3372529 ,       0.4053103
      2.2149980 ,       0.2208540 ,       0.3041555
      2.2249980 ,       0.1408938 ,       0.2422800
      2.2349980 ,       0.1063106 ,       0.2274332
      2.2449980 ,       0.1231764 ,       0.2643113
      2.2549980 ,       0.1942784 ,       0.3542220
      2.2649980 ,       0.3188941 ,       0.4949506
      2.2749980 ,       0.4927727 ,       0.6808376
      2.2849980 ,       0.7083259 ,       0.9030620
      2.2949980 ,       0.9550168 ,       1.1501155
      2.3049980 ,       1.2199253 ,       1.4084393
      2.3149980 ,       1.4884592 ,       1.6631875
      2.3249980 ,       1.7451681 ,       1.8990729
      2.3349980 ,       1.9746160 ,       2.1012453
      2.3449980 ,       2.1622614 ,       2.2561531
      2.3549980 ,       2.2952952 ,       2.3523375
      2.3649980 ,       2.3633888 ,       2.3811140
      2.3749980 ,       2.3593090 ,       2.3371025
      2.3849980 ,       2.2793662 ,       2.2185749
      2.3949980 ,       2.1236689 ,       2.0276021
      2.4049980 ,       1.8961707 ,       1.7699902
      2.4149980 ,       1.6045083 ,       1.4550119
      2.4249980 ,       1.2596373 ,       1.0949465
      2.4349980 ,       0.8752882 ,       0.7044561
      2.4449980 ,       0.4672710 ,       0.2998328
      2.4549980 ,       0.0526689 ,      -0.1018423
      2.4649980 ,      -0.3510366 ,      -0.4835798
      2.4749980 ,      -0.7268600 ,      -0.8293554
      2.4849980 ,      -1.0591775 ,      -1.1249281
      2.4949980 ,      -1.3345185 ,      -1.3585596
      2.5049980 ,      -1.5422394 ,      -1.5215966
      2.5149980 ,      -1.6750463 ,      -1.6088875
      2.5249980 ,      -1.7293395 ,      -1.6190110
      2.5349980 ,      -1.7053633 ,      -1.5543098
      2.5449980 ,      -1.6071568 ,      -1.4207279
      2.5549980 ,      -1.4423094 ,      -1.2274651
      2.5649980 ,      -1.2215375 ,      -0.9864689
      2.5749980 ,      -0.9581074 ,      -0.7117948
      2.5849980 ,      -0.6671374 ,      -0.4188698
      2.5949980 ,      -0.3648166 ,      -0.1237004
      2.6049980 ,      -0.0675837 ,       0.1579317
      2.6149980 ,       0.2086915 ,       0.4112454
      2.6249980 ,       0.4494817 ,       0.6231677
      2.6349980 ,       0.6422922 ,       0.7829378
      2.6449980 ,       0.7772334 ,       0.8825795
      2.6549980 ,       0.8474513 ,       0.9172226
      2.6649980 ,       0.8493954 ,       0.8852613
      2.6749980 ,       0.7829178 ,       0.7883458
      2.6849980 ,       0.6512016 ,       0.6312153
      2.6949980 ,       0.4605279 ,       0.4213848
      2.7049980 ,       0.2198997 ,       0.1687079
      2.7149980 ,      -0.0594558 ,      -0.1151575
      2.7249980 ,      -0.3646751 ,      -0.4173504
      2.7349980 ,      -0.6819061 ,      -0.7244417
      2.7449980 ,      -0.9969797 ,      -1.0230706
      2.7549980 ,      -1.2960725 ,      -1.3005502
      2.7649980 ,      -1.5663283 ,      -1.5454154
      2.7749980 ,      -1.7964096 ,      -1.7478881
      2.7849980 ,      -1.9769573 ,      -1.9002439
      2.7949980 ,      -2.1009391 ,      -1.9970657
      2.8049980 ,      -2.1638773 ,      -2.0353807
      2.8149980 ,      -2.1639502 ,      -2.0146809
      2.8249980 ,      -2.1019703 ,      -1.9368344
      2.8349980 ,      -1.9812474 ,      -1.8058969
      2.8449980 ,      -1.8073484 ,      -1.6278421
      2.8549980 ,      -1.5877730 ,      -1.4102272
      2.8649980 ,      -1.3315641 ,      -1.1618138
      2.8749980 ,      -1.0488750 ,      -0.8921655
      2.8849980 ,      -0.7505166 ,      -0.6112409
      2.8949980 ,      -0.4475039 ,      -0.3290006
      2.9049980 ,      -0.1506233 ,      -0.0550431
      2.9149980 ,       0.1299635 ,       0.2017179
      2.9249980 ,       0.3850652 ,       0.4333252
