Flight time (us) , Experiment , Calculated
   1964.9840000000002       ,   0.80422000000000005       ,   0.73518135999999989     
   1966.7020000000000       ,   0.80742000000000003       ,   0.73512672491001152     
   1968.4219999999998       ,   0.80430999999999997       ,   0.73507194978783774     
   1970.1430000000000       ,   0.80106999999999995       ,   0.73501706638265440     
   1971.8660000000000       ,   0.80262999999999995       ,   0.73496204270754784     
   1973.5899999999999       ,   0.79854000000000003       ,   0.73490691060111735     
   1975.3160000000000       ,   0.79925000000000002       ,   0.73485163798830300     
   1977.0430000000001       ,   0.80388000000000004       ,   0.73479625679704419     
   1978.7719999999999       ,   0.80023000000000000       ,   0.73474073486422253     
   1980.5020000000000       ,   0.80703999999999998       ,   0.73468510420703426     
   1982.2340000000002       ,   0.80393999999999999       ,   0.73462933257439311     
   1983.9670000000001       ,   0.80654000000000003       ,   0.73457345207266600     
   1985.7020000000000       ,   0.80645999999999995       ,   0.73451743036289052     
   1987.4380000000001       ,   0.80571000000000004       ,   0.73446129964051787     
   1989.1760000000002       ,   0.80225999999999997       ,   0.73440502747880088     
   1990.9159999999999       ,   0.80559999999999998       ,   0.73434861371842686     
   1992.6559999999999       ,   0.80339000000000005       ,   0.73429212317624348     
   1994.3990000000001       ,   0.79503000000000001       ,   0.73423545836235138     
   1996.1430000000000       ,   0.79613999999999996       ,   0.73417868413834253     
   1997.8880000000001       ,   0.79967999999999995       ,   0.73412180047853759     
   1999.6350000000000       ,   0.79735000000000000       ,   0.73406477469337061     
   2001.3839999999998       ,   0.79446000000000006       ,   0.73400760662564213     
   2003.1340000000002       ,   0.79364999999999997       ,   0.73395032887066858     
   2004.8860000000000       ,   0.79971999999999999       ,   0.73389290860781875     
   2006.6389999999999       ,   0.79915000000000003       ,   0.73383537852102954     
   2008.3940000000000       ,   0.80430999999999997       ,   0.73377770570238277     
   2010.1499999999999       ,   0.80142999999999998       ,   0.73371992292434185     
   2011.9080000000001       ,   0.79784999999999995       ,   0.73366199719180158     
   2013.6669999999999       ,   0.80189999999999995       ,   0.73360396136565820     
   2015.4279999999999       ,   0.80193000000000003       ,   0.73354578236371726     
   2017.1899999999998       ,   0.79503999999999997       ,   0.73348749313521500     
   2018.9540000000000       ,   0.79425999999999997       ,   0.73342906051096757     
   2020.7190000000001       ,   0.79717000000000005       ,   0.73337051752845439     
   2022.4859999999999       ,   0.80069999999999997       ,   0.73331183093160546     
   2024.2550000000001       ,   0.79944999999999999       ,   0.73325300056792397     
   2026.0250000000001       ,   0.79679000000000000       ,   0.73319405960712292     
   2027.7959999999998       ,   0.79434000000000005       ,   0.73313500802846920     
   2029.5700000000002       ,   0.79778000000000004       ,   0.73307577899331355     
   2031.3439999999998       ,   0.79086000000000001       ,   0.73301647257789437     
   2033.1209999999999       ,   0.79188999999999998       ,   0.73295698840431189     
   2034.8989999999999       ,   0.79312000000000005       ,   0.73289739327126957     
   2036.6780000000001       ,   0.79274000000000000       ,   0.73283768715955599     
   2038.4590000000001       ,   0.79139999999999999       ,   0.73277783642333094     
   2040.2410000000000       ,   0.79303000000000001       ,   0.73271787458380799     
   2042.0250000000001       ,   0.79532999999999998       ,   0.73265776790880999     
   2043.8109999999999       ,   0.79103000000000001       ,   0.73259751624993930     
   2045.5980000000000       ,   0.79220999999999997       ,   0.73253715325985680     
   2047.3870000000002       ,   0.79191000000000000       ,   0.73247664507709909     
   2049.1769999999997       ,   0.78917000000000004       ,   0.73241602544181961     
   2050.9689999999996       ,   0.78886000000000001       ,   0.73235526040646648     
   2052.7629999999999       ,   0.78893999999999997       ,   0.73229434982455133     
   2054.5580000000000       ,   0.78969999999999996       ,   0.73223332756732229     
   2056.3539999999998       ,   0.79040999999999995       ,   0.73217219361889152     
   2058.1520000000000       ,   0.79303000000000001       ,   0.73211091385983851     
   2059.9520000000002       ,   0.78478000000000003       ,   0.73204948814520010     
   2061.7530000000002       ,   0.78268000000000004       ,   0.73198795052059873     
   2063.5560000000000       ,   0.78391999999999995       ,   0.73192626673804106     
   2065.3600000000001       ,   0.77761999999999998       ,   0.73186447093018736     
   2067.1669999999999       ,   0.77934000000000003       ,   0.73180249444389212     
   2068.9739999999997       ,   0.78183999999999998       ,   0.73174044009477346     
   2070.7829999999999       ,   0.78459999999999996       ,   0.73167823918726671     
   2072.5940000000001       ,   0.78737000000000001       ,   0.73161589157913565     
   2074.4060000000004       ,   0.78995000000000004       ,   0.73155343162023334     
   2076.2210000000000       ,   0.78195000000000003       ,   0.73149079022879548     
   2078.0360000000001       ,   0.78444999999999998       ,   0.73142807086770745     
   2079.8530000000001       ,   0.78320999999999996       ,   0.73136520441292263     
   2081.6720000000000       ,   0.78839999999999999       ,   0.73130219072418667     
   2083.4920000000002       ,   0.79271999999999998       ,   0.73123906436790787     
   2085.3139999999999       ,   0.79215000000000002       ,   0.73117579058411930     
   2087.1369999999997       ,   0.79212000000000005       ,   0.73111240402564392     
   2088.9620000000000       ,   0.79790000000000005       ,   0.73104886984756423     
   2090.7890000000002       ,   0.79734000000000005       ,   0.73098518791162903     
   2092.6170000000002       ,   0.79108999999999996       ,   0.73092139300012449     
   2094.4470000000001       ,   0.79151000000000005       ,   0.73085745014095471     
   2096.2790000000000       ,   0.79618000000000000       ,   0.73079335919709332     
   2098.1120000000001       ,   0.78961000000000003       ,   0.73072915508006131     
   2099.9459999999999       ,   0.78932000000000002       ,   0.73066483778154023     
   2101.7830000000004       ,   0.78754999999999997       ,   0.73060033702690730     
   2103.6199999999999       ,   0.78683000000000003       ,   0.73053575808060556     
