       Q,      F(Q)_RMC,  F(Q)_Expt
      1.6849990 ,      -2.4243532 ,      -2.4268101
      1.6949990 ,      -2.3558670 ,      -2.3751952
      1.7049990 ,      -2.2307580 ,      -2.2723996
      1.7149990 ,      -2.0427902 ,      -2.1125287
      1.7249990 ,      -1.7888505 ,      -1.8928534
      1.7349990 ,      -1.4694531 ,      -1.6142125
      1.7449990 ,      -1.0890396 ,      -1.2811989
      1.7549990 ,      -0.6560451 ,      -0.9021094
      1.7649990 ,      -0.1827140 ,      -0.4886551
      1.7749990 ,       0.3153348 ,      -0.0554414
      1.7849990 ,       0.8197763 ,       0.3807535
      1.7949990 ,       1.3104523 ,       0.8018653
      1.8049990 ,       1.7664005 ,       1.1895412
      1.8149990 ,       2.1669856 ,       1.5261926
      1.8249990 ,       2.4930648 ,       1.7960363
      1.8349990 ,       2.7281208 ,       1.9860620
      1.8449990 ,       2.8592908 ,       2.0868638
      1.8549990 ,       2.8782280 ,       2.0932826
      1.8649990 ,       2.7817374 ,       2.0048166
      1.8749990 ,       2.5721431 ,       1.8257691
      1.8849990 ,       2.2573558 ,       1.5651222
      1.8949990 ,       1.8506298 ,       1.2361365
      1.9049990 ,       1.3700140 ,       0.8556977
      1.9149990 ,       0.8375229 ,       0.4434451
      1.9249990 ,       0.2780680 ,       0.0207299
      1.9349990 ,      -0.2817938 ,      -0.3905361
      1.9449990 ,      -0.8152262 ,      -0.7690760
      1.9549980 ,      -1.2964733 ,      -1.0953869
      1.9649980 ,      -1.7024104 ,      -1.3529377
      1.9749980 ,      -2.0134953 ,      -1.5288843
      1.9849980 ,      -2.2150209 ,      -1.6149062
      1.9949980 ,      -2.2978622 ,      -1.6076135
      2.0049980 ,      -2.2589715 ,      -1.5087051
      2.0149980 ,      -2.1015413 ,      -1.3248333
      2.0249980 ,      -1.8348225 ,      -1.0671812
      2.0349980 ,      -1.4736048 ,      -0.7507777
      2.0449980 ,      -1.0373889 ,      -0.3935911
      2.0549980 ,      -0.5492951 ,      -0.0154526
      2.0649980 ,      -0.0347700 ,       0.3631233
      2.0749980 ,       0.4798350 ,       0.7221536
      2.0849980 ,       0.9687331 ,       1.0433636
      2.0949980 ,       1.4081331 ,       1.3112556
      2.1049980 ,       1.7775526 ,       1.5140057
      2.1149980 ,       2.0609352 ,       1.6441345
      2.1249980 ,       2.2475084 ,       1.6989140
      2.1349980 ,       2.3323330 ,       1.6804832
      2.1449980 ,       2.3165122 ,       1.5956689
      2.1549980 ,       2.2070486 ,       1.4555209
      2.1649980 ,       2.0163591 ,       1.2745905
      2.1749980 ,       1.7614742 ,       1.0699954
      2.1849980 ,       1.4629727 ,       0.8603281
      2.1949980 ,       1.1437106 ,       0.6644728
      2.2049980 ,       0.8274222 ,       0.5004026
      2.2149980 ,       0.5372733 ,       0.3840292
      2.2249980 ,       0.2944530 ,       0.3281742
      2.2349980 ,       0.1168853 ,       0.3417242
      2.2449980 ,       0.0181373 ,       0.4290203
      2.2549980 ,       0.0065863 ,       0.5895205
