       Q,      F(Q)_RMC,  F(Q)_Expt
      0.5049998 ,      -3.4831808 ,      -2.7242812
      0.5149998 ,      -3.6966341 ,      -3.1085717
      0.5249998 ,      -3.8093670 ,      -3.4013804
      0.5349998 ,      -3.8161699 ,      -3.5964194
      0.5449998 ,      -3.7190103 ,      -3.6936701
      0.5549998 ,      -3.5267442 ,      -3.6991164
      0.5649998 ,      -3.2543863 ,      -3.6241046
      0.5749997 ,      -2.9220013 ,      -3.4843850
      0.5849997 ,      -2.5532701 ,      -3.2988948
      0.5949997 ,      -2.1738831 ,      -3.0883913
      0.6049997 ,      -1.8097982 ,      -2.8739988
      0.6149997 ,      -1.4855269 ,      -2.6757856
      0.6249997 ,      -1.2225391 ,      -2.5114553
      0.6349997 ,      -1.0378914 ,      -2.3952355
      0.6449997 ,      -0.9431612 ,      -2.3370320
      0.6549997 ,      -0.9437544 ,      -2.3418970
      0.6649997 ,      -1.0386234 ,      -2.4098386
      0.6749997 ,      -1.2204093 ,      -2.5359765
      0.6849996 ,      -1.4759919 ,      -2.7110244
      0.6949996 ,      -1.7874225 ,      -2.9220697
      0.7049996 ,      -2.1331368 ,      -3.1535682
      0.7149996 ,      -2.4894171 ,      -3.3885147
      0.7249996 ,      -2.8319711 ,      -3.6096858
      0.7349996 ,      -3.1375389 ,      -3.8008784
      0.7449996 ,      -3.3854216 ,      -3.9480593
      0.7549996 ,      -3.5588351 ,      -4.0403516
      0.7649996 ,      -3.6460018 ,      -4.0707904
      0.7749996 ,      -3.6409139 ,      -4.0368036
      0.7849995 ,      -3.5437205 ,      -3.9403861
      0.7949995 ,      -3.3607096 ,      -3.7879540
      0.8049995 ,      -3.1039036 ,      -3.5899056
      0.8149995 ,      -2.7902771 ,      -3.3599020
      0.8249995 ,      -2.4406600 ,      -3.1139302
      0.8349995 ,      -2.0783919 ,      -2.8692075
      0.8449995 ,      -1.7278145 ,      -2.6430003
      0.8549995 ,      -1.4126978 ,      -2.4514385
      0.8649995 ,      -1.1546988 ,      -2.3084018
      0.8749995 ,      -0.9719491 ,      -2.2245514
      0.8849995 ,      -0.8778608 ,      -2.2065723
      0.8949994 ,      -0.8802228 ,      -2.2566725
      0.9049994 ,      -0.9806467 ,      -2.3723776
      0.9149994 ,      -1.1743928 ,      -2.5466242
      0.9249994 ,      -1.4505870 ,      -2.7681567
      0.9349994 ,      -1.7928174 ,      -3.0221944
      0.9449994 ,      -2.1800711 ,      -3.2913305
      0.9549994 ,      -2.5879539 ,      -3.5566022
      0.9649994 ,      -2.9901195 ,      -3.7986662
      0.9749994 ,      -3.3598191 ,      -3.9990035
