       Q,      F(Q)_RMC,  F(Q)_Expt
      0.5049998 ,      -3.3484297 ,      -2.5527135
      0.5149998 ,      -3.4863747 ,      -2.8802884
      0.5249998 ,      -3.5371631 ,      -3.1243820
      0.5349998 ,      -3.4992545 ,      -3.2810734
      0.5449998 ,      -3.3771682 ,      -3.3520544
      0.5549998 ,      -3.1810552 ,      -3.3442687
      0.5649998 ,      -2.9259086 ,      -3.2692239
      0.5749997 ,      -2.6304713 ,      -3.1420333
      0.5849997 ,      -2.3159010 ,      -2.9802481
      0.5949997 ,      -2.0043278 ,      -2.8025836
      0.6049997 ,      -1.7173412 ,      -2.6275998
      0.6149997 ,      -1.4745506 ,      -2.4724422
      0.6249997 ,      -1.2922941 ,      -2.3517189
      0.6349997 ,      -1.1825820 ,      -2.2765834
      0.6449997 ,      -1.1523393 ,      -2.2540819
      0.6549997 ,      -1.2029955 ,      -2.2867993
      0.6649997 ,      -1.3304420 ,      -2.3728224
      0.6749997 ,      -1.5253575 ,      -2.5060144
      0.6849996 ,      -1.7738729 ,      -2.6765740
      0.6949996 ,      -2.0585451 ,      -2.8718455
      0.7049996 ,      -2.3595354 ,      -3.0772947
      0.7149996 ,      -2.6559622 ,      -3.2776143
      0.7249996 ,      -2.9273033 ,      -3.4578570
      0.7349996 ,      -3.1547704 ,      -3.6045276
      0.7449996 ,      -3.3225624 ,      -3.7065597
      0.7549996 ,      -3.4189180 ,      -3.7561093
      0.7649996 ,      -3.4368998 ,      -3.7491169
      0.7749996 ,      -3.3748593 ,      -3.6855973
      0.7849995 ,      -3.2365565 ,      -3.5696461
      0.7949995 ,      -3.0309168 ,      -3.4091524
      0.8049995 ,      -2.7714648 ,      -3.2152603
      0.8149995 ,      -2.4754439 ,      -3.0015937
      0.8249995 ,      -2.1626982 ,      -2.7833129
      0.8349995 ,      -1.8543811 ,      -2.5760628
      0.8449995 ,      -1.5715754 ,      -2.3948840
      0.8549995 ,      -1.3339105 ,      -2.2531604
      0.8649995 ,      -1.1582677 ,      -2.1616736
      0.8749995 ,      -1.0576529 ,      -2.1278274
      0.8849995 ,      -1.0403093 ,      -2.1550932
      0.8949994 ,      -1.1091243 ,      -2.2427138
      0.9049994 ,      -1.2613744 ,      -2.3856889
      0.9149994 ,      -1.4888104 ,      -2.5750321
      0.9249994 ,      -1.7780930 ,      -2.7982978
      0.9349994 ,      -2.1115428 ,      -3.0403339
      0.9449994 ,      -2.4681609 ,      -3.2842151
      0.9549994 ,      -2.8248572 ,      -3.5122959
      0.9649994 ,      -3.1578117 ,      -3.7073171
      0.9749994 ,      -3.4438846 ,      -3.8534928
      0.9849994 ,      -3.6619907 ,      -3.9375107
      0.9949993 ,      -3.7943548 ,      -3.9493813
      1.0049990 ,      -3.8275781 ,      -3.8830855
      1.0149990 ,      -3.7534369 ,      -3.7369640
      1.0249990 ,      -3.5693859 ,      -3.5138619
      1.0349990 ,      -3.2787358 ,      -3.2209789
      1.0449990 ,      -2.8904853 ,      -2.8694605
      1.0549990 ,      -2.4188301 ,      -2.4737511
      1.0649990 ,      -1.8823798 ,      -2.0507504
      1.0749990 ,      -1.3031305 ,      -1.6188277
      1.0849990 ,      -0.7052588 ,      -1.1967575
      1.0949990 ,      -0.1138078 ,      -0.8026419
      1.1049990 ,       0.4466536 ,      -0.4528867
      1.1149990 ,       0.9533220 ,      -0.1612957
      1.1249990 ,       1.3863252 ,       0.0616653
      1.1349990 ,       1.7296979 ,       0.2093887
      1.1449990 ,       1.9721147 ,       0.2794032
      1.1549990 ,       2.1073438 ,       0.2733960
      1.1649990 ,       2.1344015 ,       0.1969813
      1.1749990 ,       2.0574081 ,       0.0592374
      1.1849990 ,       1.8851614 ,      -0.1279566
      1.1949990 ,       1.6304631 ,      -0.3507365
      1.2049990 ,       1.3092449 ,      -0.5941672
      1.2149990 ,       0.9395543 ,      -0.8431939
      1.2249990 ,       0.5404650 ,      -1.0835704
      1.2349990 ,       0.1309808 ,      -1.3027048
      1.2449990 ,      -0.2710011 ,      -1.4903694
      1.2549990 ,      -0.6496072 ,      -1.6392349
      1.2649990 ,      -0.9917336 ,      -1.7451964
      1.2749990 ,      -1.2875828 ,      -1.8074762
      1.2849990 ,      -1.5309682 ,      -1.8285037
      1.2949990 ,      -1.7193777 ,      -1.8135851
      1.3049990 ,      -1.8538042 ,      -1.7703902
      1.3149990 ,      -1.9383667 ,      -1.7082976
      1.3249990 ,      -1.9797553 ,      -1.6376439
      1.3349990 ,      -1.9865475 ,      -1.5689318
      1.3449990 ,      -1.9684472 ,      -1.5120521
      1.3549990 ,      -1.9355013 ,      -1.4755716
      1.3649990 ,      -1.8973496 ,      -1.4661366
      1.3749990 ,      -1.8625569 ,      -1.4880292
      1.3849990 ,      -1.8380708 ,      -1.5429045
      1.3949990 ,      -1.8288371 ,      -1.6297244
      1.4049990 ,      -1.8375919 ,      -1.7448877
      1.4149990 ,      -1.8648382 ,      -1.8825446
      1.4249990 ,      -1.9089989 ,      -2.0350697
      1.4349990 ,      -1.9667270 ,      -2.1936573
      1.4449990 ,      -2.0333426 ,      -2.3489950
      1.4549990 ,      -2.1033579 ,      -2.4919651
      1.4649990 ,      -2.1710443 ,      -2.6143234
      1.4749990 ,      -2.2309972 ,      -2.7093063
      1.4849990 ,      -2.2786501 ,      -2.7721221
      1.4949990 ,      -2.3106991 ,      -2.8002906
      1.5049990 ,      -2.3254039 ,      -2.7938081
      1.5149990 ,      -2.3227406 ,      -2.7551242
      1.5249990 ,      -2.3043957 ,      -2.6889327
      1.5349990 ,      -2.2736011 ,      -2.6017912
      1.5449990 ,      -2.2348227 ,      -2.5015962
      1.5549990 ,      -2.1933276 ,      -2.3969525
      1.5649990 ,      -2.1546634 ,      -2.2964793
      1.5749990 ,      -2.1240913 ,      -2.2081075
      1.5849990 ,      -2.1060183 ,      -2.1384151
      1.5949990 ,      -2.1034754 ,      -2.0920541
      1.6049990 ,      -2.1176854 ,      -2.0713086
      1.6149990 ,      -2.1477595 ,      -2.0758223
      1.6249990 ,      -2.1905521 ,      -2.1025166
      1.6349990 ,      -2.2406920 ,      -2.1457098
      1.6449990 ,      -2.2907982 ,      -2.1974364
      1.6549990 ,      -2.3318710 ,      -2.2479457
      1.6649990 ,      -2.3538405 ,      -2.2863523
      1.6749990 ,      -2.3462384 ,      -2.3013964
      1.6849990 ,      -2.2989526 ,      -2.2822637
      1.6949990 ,      -2.2030139 ,      -2.2194113
      1.7049990 ,      -2.0513610 ,      -2.1053425
      1.7149990 ,      -1.8395300 ,      -1.9352759
      1.7249990 ,      -1.5662156 ,      -1.7076617
      1.7349990 ,      -1.2336611 ,      -1.4245039
      1.7449990 ,      -0.8478401 ,      -1.0914626
      1.7549990 ,      -0.4184088 ,      -0.7177222
      1.7649990 ,       0.0415795 ,      -0.3156254
      1.7749990 ,       0.5161913 ,       0.0999077
      1.7849990 ,       0.9873385 ,       0.5121477
      1.7949990 ,       1.4356764 ,       0.9034652
      1.8049990 ,       1.8416248 ,       1.2563295
      1.8149990 ,       2.1864552 ,       1.5543361
      1.8249990 ,       2.4533793 ,       1.7831991
      1.8349990 ,       2.6285718 ,       1.9316472
      1.8449990 ,       2.7020655 ,       1.9921656
      1.8549990 ,       2.6684580 ,       1.9615347
      1.8649990 ,       2.5273834 ,       1.8411287
      1.8749990 ,       2.2837144 ,       1.6369520
      1.8849990 ,       1.9474727 ,       1.3594053
      1.8949990 ,       1.5334484 ,       1.0227919
      1.9049990 ,       1.0605401 ,       0.6445896
      1.9149990 ,       0.5508509 ,       0.2445280
      1.9249990 ,       0.0285846 ,      -0.1564758
      1.9349990 ,      -0.4811965 ,      -0.5374608
      1.9449990 ,      -0.9538826 ,      -0.8785797
      1.9549980 ,      -1.3665858 ,      -1.1621744
      1.9649980 ,      -1.6995252 ,      -1.3738630
      1.9749980 ,      -1.9368514 ,      -1.5031666
      1.9849980 ,      -2.0676787 ,      -1.5441996
      1.9949980 ,      -2.0866336 ,      -1.4959447
      2.0049980 ,      -1.9941437 ,      -1.3622756
      2.0149980 ,      -1.7964036 ,      -1.1516951
      2.0249980 ,      -1.5050191 ,      -0.8768028
      2.0349980 ,      -1.1363465 ,      -0.5535243
      2.0449980 ,      -0.7105636 ,      -0.2001471
      2.0549980 ,      -0.2505265 ,       0.1637781
      2.0649980 ,       0.2195247 ,       0.5186067
      2.0749980 ,       0.6753350 ,       0.8457679
      2.0849980 ,       1.0940006 ,       1.1288622
      2.0949980 ,       1.4552524 ,       1.3546223
      2.1049980 ,       1.7425814 ,       1.5136794
      2.1149980 ,       1.9441422 ,       1.6010897
      2.1249980 ,       2.0533811 ,       1.6165884
      2.1349980 ,       2.0693518 ,       1.5645576
      2.1449980 ,       1.9967021 ,       1.4537095
      2.1549980 ,       1.8453312 ,       1.2965049
      2.1649980 ,       1.6297399 ,       1.1083418
      2.1749980 ,       1.3681105 ,       0.9065642
      2.1849980 ,       1.0811727 ,       0.7093510
      2.1949980 ,       0.7909214 ,       0.5345521
      2.2049980 ,       0.5192635 ,       0.3985432
      2.2149980 ,       0.2866724 ,       0.3151670
      2.2249980 ,       0.1109305 ,       0.2948270
      2.2349980 ,       0.0060337 ,       0.3437870
      2.2449980 ,      -0.0186774 ,       0.4637205
      2.2549980 ,       0.0408913 ,       0.6515364
      2.2649980 ,       0.1833090 ,       0.8994929
      2.2749980 ,       0.4016702 ,       1.1955927
      2.2849980 ,       0.6839714 ,       1.5242381
      2.2949980 ,       1.0137917 ,       1.8671060
      2.3049980 ,       1.3712374 ,       2.2041933
      2.3149980 ,       1.7340954 ,       2.5149696
      2.3249980 ,       2.0791295 ,       2.7795722
      2.3349980 ,       2.3834412 ,       2.9799715
      2.3449980 ,       2.6258198 ,       3.1010400
      2.3549980 ,       2.7879998 ,       3.1314627
      2.3649980 ,       2.8557563 ,       3.0644359
      2.3749980 ,       2.8197722 ,       2.8981149
      2.3849980 ,       2.6762307 ,       2.6357839
      2.3949980 ,       2.4270966 ,       2.2857402
      2.4049980 ,       2.0800721 ,       1.8608986
      2.4149980 ,       1.6482300 ,       1.3781389
      2.4249980 ,       1.1493446 ,       0.8574352
      2.4349980 ,       0.6049603 ,       0.3208153
      2.4449980 ,       0.0392493 ,      -0.2087905
      2.4549980 ,      -0.5222759 ,      -0.7087465
      2.4649980 ,      -1.0541232 ,      -1.1578885
      2.4749980 ,      -1.5321791 ,      -1.5376155
      2.4849980 ,      -1.9349886 ,      -1.8328384
      2.4949980 ,      -2.2448875 ,      -2.0327332
      2.5049980 ,      -2.4489257 ,      -2.1312626
      2.5149980 ,      -2.5395319 ,      -2.1274388
      2.5249980 ,      -2.5148871 ,      -2.0253175
      2.5349980 ,      -2.3789881 ,      -1.8337283
      2.5449980 ,      -2.1414023 ,      -1.5657593
      2.5549980 ,      -1.8167287 ,      -1.2380284
      2.5649980 ,      -1.4238002 ,      -0.8697838
      2.5749980 ,      -0.9846716 ,      -0.4818861
      2.5849980 ,      -0.5234520 ,      -0.0957270
      2.5949980 ,      -0.0650454 ,       0.2678562
      2.6049980 ,       0.3661314 ,       0.5896121
      2.6149980 ,       0.7473855 ,       0.8528017
