       Q,      F(Q)_RMC,  F(Q)_Expt
      0.5049998 ,      -3.7205587 ,      -2.9344158
      0.5149998 ,      -4.0097192 ,      -3.3483481
      0.5249998 ,      -4.1752017 ,      -3.6637423
      0.5349998 ,      -4.2091223 ,      -3.8738254
      0.5449998 ,      -4.1125141 ,      -3.9785775
      0.5549998 ,      -3.8950396 ,      -3.9844439
      0.5649998 ,      -3.5741549 ,      -3.9036462
      0.5749997 ,      -3.1737928 ,      -3.7531494
      0.5849997 ,      -2.7226358 ,      -3.5533517
      0.5949997 ,      -2.2521583 ,      -3.3266112
      0.6049997 ,      -1.7944885 ,      -3.0956817
      0.6149997 ,      -1.3802880 ,      -2.8821796
      0.6249997 ,      -1.0367629 ,      -2.7051738
      0.6349997 ,      -0.7859343 ,      -2.5799895
      0.6449997 ,      -0.6432762 ,      -2.5172965
      0.6549997 ,      -0.6168005 ,      -2.5225368
      0.6649997 ,      -0.7066423 ,      -2.5957190
      0.6749997 ,      -0.9051642 ,      -2.7315865
      0.6849996 ,      -1.1975613 ,      -2.9201364
      0.6949996 ,      -1.5629412 ,      -3.1474605
      0.7049996 ,      -1.9757571 ,      -3.3968154
      0.7149996 ,      -2.4075545 ,      -3.6498843
      0.7249996 ,      -2.8288751 ,      -3.8881152
      0.7349996 ,      -3.2112095 ,      -4.0940552
      0.7449996 ,      -3.5288678 ,      -4.2525888
      0.7549996 ,      -3.7606514 ,      -4.3519999
      0.7649996 ,      -3.8912186 ,      -4.3847866
      0.7749996 ,      -3.9120600 ,      -4.3481783
      0.7849995 ,      -3.8220243 ,      -4.2443237
      0.7949995 ,      -3.6273592 ,      -4.0801339
      0.8049995 ,      -3.3412814 ,      -3.8668092
      0.8149995 ,      -2.9830910 ,      -3.6190645
      0.8249995 ,      -2.5768983 ,      -3.3541200
      0.8349995 ,      -2.1500452 ,      -3.0905208
      0.8449995 ,      -1.7313210 ,      -2.8468654
      0.8549995 ,      -1.3490896 ,      -2.6405277
      0.8649995 ,      -1.0294442 ,      -2.4864580
      0.8749995 ,      -0.7945091 ,      -2.3961399
      0.8849995 ,      -0.6609920 ,      -2.3767740
      0.8949994 ,      -0.6390787 ,      -2.4307386
      0.9049994 ,      -0.7317381 ,      -2.5553684
      0.9149994 ,      -0.9344800 ,      -2.7430554
      0.9249994 ,      -1.2355757 ,      -2.9816756
      0.9349994 ,      -1.6167311 ,      -3.2553083
      0.9449994 ,      -2.0541658 ,      -3.5452039
      0.9549994 ,      -2.5200315 ,      -3.8309371
      0.9649994 ,      -2.9840805 ,      -4.0916724
      0.9749994 ,      -3.4154811 ,      -4.3074624
      0.9849994 ,      -3.7846682 ,      -4.4604952
      0.9949993 ,      -4.0651150 ,      -4.5362133
      1.0049990 ,      -4.2349286 ,      -4.5242389
      1.0149990 ,      -4.2781596 ,      -4.4190300
      1.0249990 ,      -4.1857363 ,      -4.2202561
      1.0349990 ,      -3.9560281 ,      -3.9328500
      1.0449990 ,      -3.5949413 ,      -3.5667398
      1.0549990 ,      -3.1155802 ,      -3.1362801
      1.0649990 ,      -2.5374910 ,      -2.6594207
      1.0749990 ,      -1.8855392 ,      -2.1566641
      1.0849990 ,      -1.1884917 ,      -1.6498792
      1.0949990 ,      -0.4773912 ,      -1.1610443
      1.1049990 ,       0.2161768 ,      -0.7109991
      1.1149990 ,       0.8618207 ,      -0.3182795
      1.1249990 ,       1.4319794 ,       0.0018918
      1.1349990 ,       1.9033646 ,       0.2384008
      1.1449990 ,       2.2581273 ,       0.3847778
      1.1549990 ,       2.4846847 ,       0.4394446
      1.1649990 ,       2.5781661 ,       0.4056631
      1.1749990 ,       2.5404615 ,       0.2911940
      1.1849990 ,       2.3798784 ,       0.1076927
      1.1949990 ,       2.1104402 ,      -0.1301149
      1.2049990 ,       1.7508751 ,      -0.4054199
      1.2149990 ,       1.3233685 ,      -0.7004174
      1.2249990 ,       0.8521595 ,      -0.9974200
      1.2349990 ,       0.3620724 ,      -1.2799298
      1.2449990 ,      -0.1229259 ,      -1.5335990
      1.2549990 ,      -0.5810541 ,      -1.7470236
      1.2649990 ,      -0.9938526 ,      -1.9123212
      1.2749990 ,      -1.3470652 ,      -2.0254632
      1.2849990 ,      -1.6312191 ,      -2.0863448
      1.2949990 ,      -1.8418785 ,      -2.0985961
      1.3049990 ,      -1.9795691 ,      -2.0691531
      1.3149990 ,      -2.0493903 ,      -2.0076226
      1.3249990 ,      -2.0603526 ,      -1.9254898
      1.3349990 ,      -2.0244942 ,      -1.8352230
      1.3449990 ,      -1.9558444 ,      -1.7493413
      1.3549990 ,      -1.8693072 ,      -1.6795059
      1.3649990 ,      -1.7795445 ,      -1.6356982
      1.3749990 ,      -1.6999337 ,      -1.6255385
      1.3849990 ,      -1.6416684 ,      -1.6537880
      1.3949990 ,      -1.6130589 ,      -1.7220663
      1.4049990 ,      -1.6190744 ,      -1.8287977
      1.4149990 ,      -1.6611500 ,      -1.9693885
      1.4249990 ,      -1.7372641 ,      -2.1366158
      1.4349990 ,      -1.8422725 ,      -2.3212001
      1.4449990 ,      -1.9684660 ,      -2.5125165
      1.4549990 ,      -2.1063066 ,      -2.6993931
      1.4649990 ,      -2.2452820 ,      -2.8709388
      1.4749990 ,      -2.3748132 ,      -3.0173416
      1.4849990 ,      -2.4851469 ,      -3.1305787
      1.4949990 ,      -2.5681638 ,      -3.2049912
      1.5049990 ,      -2.6180456 ,      -3.2376785
      1.5149990 ,      -2.6317489 ,      -3.2286886
      1.5249990 ,      -2.6092517 ,      -3.1809878
      1.5349990 ,      -2.5535556 ,      -3.1002127
      1.5449990 ,      -2.4704410 ,      -2.9942225
      1.5549990 ,      -2.3679946 ,      -2.8724818
      1.5649990 ,      -2.2559426 ,      -2.7453178
      1.5749990 ,      -2.1448387 ,      -2.6231053
      1.5849990 ,      -2.0451667 ,      -2.5154362
      1.5949990 ,      -1.9664234 ,      -2.4303345
      1.6049990 ,      -1.9162518 ,      -2.3735732
      1.6149990 ,      -1.8996908 ,      -2.3481448
      1.6249990 ,      -1.9185998 ,      -2.3539250
      1.6349990 ,      -1.9713064 ,      -2.3875591
      1.6449990 ,      -2.0525110 ,      -2.4425829
      1.6549990 ,      -2.1534625 ,      -2.5097771
      1.6649990 ,      -2.2624031 ,      -2.5777334
      1.6749990 ,      -2.3652590 ,      -2.6336023
      1.6849990 ,      -2.4465388 ,      -2.6639731
      1.6949990 ,      -2.4903833 ,      -2.6558306
      1.7049990 ,      -2.4817006 ,      -2.5975258
      1.7149990 ,      -2.4073109 ,      -2.4796952
      1.7249990 ,      -2.2570245 ,      -2.2960651
      1.7349990 ,      -2.0245766 ,      -2.0440843
      1.7449990 ,      -1.7083519 ,      -1.7253378
      1.7549990 ,      -1.3118416 ,      -1.3457081
      1.7649990 ,      -0.8437928 ,      -0.9152654
      1.7749990 ,      -0.3180285 ,      -0.4478859
      1.7849990 ,       0.2470622 ,       0.0393856
      1.7949990 ,       0.8293461 ,       0.5271956
      1.8049990 ,       1.4040369 ,       0.9949172
      1.8149990 ,       1.9449986 ,       1.4217993
      1.8249990 ,       2.4261885 ,       1.7881641
      1.8349990 ,       2.8231535 ,       2.0765770
      1.8449990 ,       3.1144941 ,       2.2729197
      1.8549990 ,       3.2832022 ,       2.3672971
      1.8649990 ,       3.3177927 ,       2.3547199
      1.8749990 ,       3.2131529 ,       2.2355174
      1.8849990 ,       2.9710527 ,       2.0154508
      1.8949990 ,       2.6002772 ,       1.7055137
      1.9049990 ,       2.1163641 ,       1.3214285
      1.9149990 ,       1.5409534 ,       0.8828621
      1.9249990 ,       0.9007774 ,       0.4124041
      1.9349990 ,       0.2263450 ,      -0.0656345
      1.9449990 ,      -0.4496123 ,      -0.5265345
      1.9549980 ,      -1.0937827 ,      -0.9464780
      1.9649980 ,      -1.6742899 ,      -1.3040164
      1.9749980 ,      -2.1620178 ,      -1.5810002
      1.9849980 ,      -2.5324486 ,      -1.7637466
      1.9949980 ,      -2.7669358 ,      -1.8437382
      2.0049980 ,      -2.8537306 ,      -1.8180716
      2.0149980 ,      -2.7886345 ,      -1.6895830
      2.0249980 ,      -2.5752384 ,      -1.4666432
      2.0349980 ,      -2.2247304 ,      -1.1626338
      2.0449980 ,      -1.7552836 ,      -0.7951339
      2.0549980 ,      -1.1910543 ,      -0.3848656
      2.0649980 ,      -0.5608477 ,       0.0455393
      2.0749980 ,       0.1034735 ,       0.4728784
      2.0849980 ,       0.7687486 ,       0.8747455
      2.0949980 ,       1.4023453 ,       1.2308417
      2.1049980 ,       1.9739492 ,       1.5241554
