   500050        0.000        0.000
   500051      305.000      315.000
   500052      275.000      293.000
   500053      258.000      254.000
   500054      237.000      236.000
   500055      259.000      220.000
   500056      240.000      232.000
   500057      217.000      221.000
   500058      216.000      201.000
   500059      203.000      222.000
   500060      215.000      222.000
   500061      223.000      211.000
   500062      174.000      219.000
   500063      193.000      205.000
   500064      196.000      184.000
   500065      194.000      196.000
   500066      180.000      198.000
   500067      197.000      211.000
   500068      221.000      199.000
   500069      198.000      183.000
   500070      190.000      202.000
   500071      218.000      197.000
   500072      190.000      199.000
   500073      197.000      206.000
   500074      188.000      238.000
   500075      197.000      219.000
   500076      178.000      186.000
   500077        8.000        7.000
   500078        2.000        8.000
   500079        5.000        8.000
   500080        6.000        7.000
   500081        8.000        4.000
   500082        4.000        7.000
   500083        3.000        6.000
   500084        9.000        5.000
   500085        8.000        3.000
   500086        2.000        9.000
   500087        4.000        5.000
   500088        6.000        5.000
   500089        5.000        5.000
   500090        3.000        7.000
   500091        7.000        2.000
   500092        7.000        6.000
   500093        6.000        6.000
   500094        3.000        4.000
   500095        5.000        7.000
   500096        3.000        7.000
   500097        5.000        6.000
   500098        4.000        6.000
   500099        3.000        6.000
   500100        2.000        5.000
   500101        5.000        8.000
   500102        5.000        5.000
   500103        3.000        3.000
   500104        9.000        3.000
   500105        5.000        5.000
   500106        2.000        4.000
   500107        6.000        4.000
   500108        8.000        8.000
   500109        4.000        8.000
   500110        2.000        2.000
   500111        5.000        6.000
   500112        6.000        9.000
   500113        5.000       11.000
   500114       12.000        5.000
   500115        4.000        4.000
   500116        5.000       10.000
   500117        9.000        5.000
   500118        6.000        5.000
   500119        6.000        5.000
   500120        4.000        9.000
   500121        3.000        7.000
   500122        5.000        7.000
   500123        6.000        2.000
   500124        7.000        7.000
   500125        5.000        9.000
   500126        7.000        6.000
   500127        6.000        6.000
   500128        9.000       12.000
   500129        3.000        7.000
   500130        9.000       10.000
   500131       11.000        7.000
   500132        9.000        9.000
   500133        7.000        7.000
   500134        5.000        4.000
   500135        5.000        4.000
   500136        4.000       10.000
   500137        2.000        6.000
   500138        7.000        6.000
   500139        5.000        8.000
   500140        5.000        5.000
   500141        7.000        4.000
   500142        7.000        4.000
   500143        5.000        5.000
   500144        7.000        6.000
   500145        4.000        6.000
   500146        6.000        3.000
   500147       11.000        7.000
   500148        6.000        3.000
   500149        4.000       11.000
   500150        6.000        4.000
   500151        7.000        4.000
   500152        3.000       10.000
   500153        4.000        8.000
   500154        6.000        4.000
   500155        4.000        7.000
   500156        7.000        8.000
   500157       13.000        8.000
   500158        8.000        7.000
   500159        5.000        7.000
   500160        6.000        9.000
   500161        6.000        4.000
   500162       11.000        6.000
   500163        5.000        6.000
   500164        3.000        7.000
   500165        4.000        8.000
   500166        6.000        3.000
   500167        5.000        8.000
   500168        2.000        3.000
   500169        7.000        7.000
   500170        9.000        5.000
   500171        7.000        5.000
   500172        7.000        6.000
   500173        7.000        7.000
   500174        7.000       13.000
   500175        5.000        5.000
   500176        7.000        4.000
   500177        4.000        9.000
   500178        6.000       10.000
   500179        6.000        5.000
   500180        8.000        5.000
   500181        5.000        6.000
   500182       11.000        7.000
   500183       10.000       12.000
   500184        5.000        6.000
   500185        4.000        9.000
   500186        2.000        4.000
   500187        8.000        6.000
   500188        6.000        6.000
   500189        5.000        6.000
   500190        6.000        5.000
   500191        6.000        8.000
   500192        6.000        8.000
   500193        5.000        6.000
   500194        1.000        4.000
   500195        8.000        6.000
   500196        6.000        7.000
   500197        3.000       11.000
   500198       11.000       20.000
   500199        6.000       13.000
   500200        7.000        6.000
   500201        5.000        6.000
   500202        4.000        8.000
   500203        8.000        5.000
   500204        5.000       10.000
   500205        3.000        4.000
   500206        7.000        7.000
   500207        5.000        4.000
   500208        7.000       10.000
   500209        4.000        1.000
   500210        5.000        5.000
   500211        9.000        5.000
   500212        5.000       10.000
   500213        9.000        3.000
   500214        5.000        6.000
   500215        6.000       11.000
   500216        8.000        2.000
   500217        6.000        5.000
   500218        6.000        6.000
   500219        8.000        6.000
   500220        2.000        7.000
   500221        6.000        5.000
   500222        3.000        5.000
   500223        4.000        5.000
   500224        9.000        6.000
   500225        6.000        8.000
   500226        6.000       10.000
   500227        5.000        5.000
   500228        6.000        7.000
   500229        9.000        3.000
   500230        2.000        4.000
   500231       10.000        4.000
   500232        5.000       10.000
   500233        3.000       11.000
   500234        4.000        2.000
   500235        2.000        7.000
   500236        6.000       12.000
   500237        1.000        8.000
   500238        6.000        8.000
   500239        5.000        6.000
   500240        4.000        5.000
   500241        7.000        6.000
   500242       10.000        5.000
   500243        4.000        3.000
   500244        3.000        9.000
   500245        7.000        5.000
   500246        8.000        7.000
   500247        5.000       14.000
   500248        5.000        4.000
   500249       10.000        5.000
   500250        2.000       12.000
   500251        5.000        4.000
   500252        3.000       11.000
   500253        5.000        1.000
   500254       10.000        9.000
   500255        3.000        2.000
   500256        6.000        6.000
