0.0000000	0.0000000
0.020000000	184.69537
0.040000000	183.70192
0.060000000	180.63938
0.080000000	179.31192
0.10000000	178.99658
0.12000000	178.06117
0.14000000	175.77534
0.16000000	175.17305
0.18000000	174.99014
0.20000000	175.36874
0.22000000	174.56819
0.24000000	173.87800
0.26000000	174.63962
0.28000000	176.34182
0.30000000	179.10858
0.32000000	184.89861
0.34000000	193.38933
0.36000000	210.26182
0.38000000	231.85166
0.40000000	255.25465
0.42000000	282.54439
0.44000000	301.31684
0.46000000	322.19915
0.48000000	340.08170
0.50000000	357.63980
0.52000000	373.45842
0.54000000	391.03509
0.56000000	404.09084
0.58000000	420.30506
0.60000000	440.79422
0.62000000	463.58643
0.64000000	502.17282
0.66000000	557.15160
0.68000000	636.81960
0.70000000	733.72935
0.72000000	861.21008
0.74000000	971.25941
0.76000000	1085.1093
0.78000000	1164.0125
0.80000000	1215.9295
0.82000000	1251.8826
0.84000000	1272.0988
0.86000000	1287.4789
0.88000000	1296.8609
0.90000000	1305.1494
0.92000000	1312.2991
0.94000000	1319.2556
0.96000000	1324.6763
0.98000000	1329.4407
1.0000000	1334.2038
1.0200000	1338.0638
1.0400000	1341.3006
1.0600000	1344.0745
1.0800000	1346.4022
1.1000000	1348.9152
1.1200000	1351.4057
1.1400000	1354.9530
1.1600000	1358.6691
1.1800000	1362.4730
1.2000000	1365.4920
1.2200000	1368.6832
1.2400000	1372.0819
1.2600000	1375.9888
1.2800000	1380.3551
1.3000000	1384.2425
1.3200000	1389.0404
1.3400000	1394.6192
1.3600000	1399.4667
1.3800000	1404.6584
1.4000000	1411.0180
1.4200000	1418.3468
1.4400000	1426.4938
1.4600000	1436.6732
1.4800000	1447.2047
1.5000000	1461.5621
1.5200000	1480.3356
1.5400000	1505.2129
1.5600000	1542.1400
1.5800000	1605.4415
1.6000000	1708.1793
1.6200000	1916.6032
1.6400000	2337.8767
1.6600000	3129.5592
1.6800000	4703.9631
1.7000000	6993.1166
1.7200000	9316.8130
1.7400000	10553.112
1.7600000	9474.2051
1.7800000	7170.4869
1.8000000	4627.9028
1.8200000	3166.8703
1.8400000	2405.5126
1.8600000	2051.4403
1.8800000	1937.3632
1.9000000	1951.5164
1.9200000	2119.8671
1.9400000	2502.1681
1.9600000	3140.2087
1.9800000	4056.0776
2.0000000	4673.8562
2.0200000	4704.2110
2.0400000	4024.0722
2.0600000	3173.4059
2.0800000	2472.0040
2.1000000	2101.6386
2.1200000	1916.5146
2.1400000	1839.3243
2.1600000	1803.7048
2.1800000	1789.5760
2.2000000	1785.7588
2.2200000	1784.6240
2.2400000	1782.4099
2.2600000	1778.4333
2.2800000	1774.3176
2.3000000	1770.1992
2.3200000	1766.0077
2.3400000	1763.1958
2.3600000	1760.8400
2.3800000	1760.7746
2.4000000	1762.1501
2.4200000	1764.7616
2.4400000	1769.1605
2.4600000	1778.7950
2.4800000	1798.6340
2.5000000	1840.8271
2.5200000	1919.7755
2.5400000	2084.7628
2.5600000	2424.6426
2.5800000	3091.8187
2.6000000	4318.6859
2.6200000	6096.9196
2.6400000	7753.7434
2.6600000	8389.7451
2.6800000	7452.3285
2.7000000	5743.7622
2.7200000	4131.7051
2.7400000	3406.6172
2.7600000	3473.4465
2.7800000	4368.8668
2.8000000	5943.5593
2.8200000	7666.4420
2.8400000	8512.0721
2.8600000	7798.6722
2.8800000	6021.7321
2.9000000	4140.8822
2.9200000	2960.9912
2.9400000	2326.2464
2.9600000	2041.1164
2.9800000	1921.1409
3.0000000	1884.9652
3.0200000	1917.3605
3.0400000	2020.2106
3.0600000	2257.8275
3.0800000	2768.1754
3.1000000	3758.8591
3.1200000	5586.1875
3.1400000	8118.2063
3.1600000	10386.239
3.1800000	11098.521
3.2000000	9616.1071
3.2200000	7041.1929
3.2400000	4654.6322
3.2600000	3348.5545
3.2800000	2780.2251
3.3000000	2654.7641
3.3200000	2697.1038
3.3400000	2754.1449
3.3600000	2837.6139
3.3800000	3174.3861
3.4000000	4090.7740
3.4200000	6068.9722
3.4400000	8905.8842
3.4600000	11870.077
3.4800000	13047.229
3.5000000	11693.917
3.5200000	8570.4189
3.5400000	5624.3844
3.5600000	3713.4609
3.5800000	2746.9996
3.6000000	2356.1732
3.6200000	2155.7845
3.6400000	2001.6107
3.6600000	1859.7304
3.6800000	1748.8511
3.7000000	1681.9241
3.7200000	1663.0635
3.7400000	1681.6109
3.7600000	1751.2612
3.7800000	1914.7203
3.8000000	2250.6718
3.8200000	2948.0671
3.8400000	4063.0475
3.8600000	5436.8478
3.8800000	6490.5077
3.9000000	6421.0111
3.9200000	5370.0601
3.9400000	3890.7200
3.9600000	2818.2022
3.9800000	2209.7139
4.0000000	1921.9231
4.0200000	1785.2063
4.0400000	1685.4829
4.0600000	1598.6509
4.0800000	1532.9515
4.1000000	1490.6871
4.1200000	1467.8367
4.1400000	1457.9419
4.1600000	1457.2543
4.1800000	1464.7208
4.2000000	1481.7014
4.2200000	1517.2726
4.2400000	1586.0468
4.2600000	1721.6361
4.2800000	1994.6236
4.3000000	2548.1713
4.3200000	3475.4635
4.3400000	4841.5560
4.3600000	6062.0313
4.3800000	6540.3529
4.4000000	5885.9150
4.4200000	4697.2178
4.4400000	3674.2492
4.4600000	3203.9358
4.4800000	3046.8506
4.5000000	2882.1127
4.5200000	2537.6021
4.5400000	2155.5264
4.5600000	1838.0939
4.5800000	1656.5203
4.6000000	1564.3527
4.6200000	1519.5957
4.6400000	1498.8438
4.6600000	1493.4906
4.6800000	1501.1046
4.7000000	1526.9097
