           1        2451  0.490000010       25.0000000    
  0.490000010      0.504999995      0.494999796      0.504999816      0.494999796      0.504999816    
   1.00000203E-02   4.99981642E-03 -0.979680002       1.29600286    
 -0.973200202       1.00000000       1.00000000     -0.973200202    
           1        2451          51        2501
  0.490000010      0.504999995      0.504999816      0.514999807      0.504999816      0.504999995    
   1.78813934E-07   9.99987125E-03 -0.979680002       1.29600286    
  -1.72863201E-05   1.78814098E-05   1.78814098E-05  -1.72863201E-05
           1        2451          52        2501
  0.504999995      0.514999986      0.504999816      0.514999807      0.504999995      0.514999807    
   9.99981165E-03   4.99987602E-03 -0.966719985       1.11599672    
 -0.961122990      0.999982119       1.00000000     -0.961140275    
           2        2451          52        2501
  0.504999995      0.514999986      0.514999807      0.524999797      0.514999807      0.514999986    
   1.78813934E-07   9.99987125E-03 -0.966719985       1.11599672    
  -1.70867625E-05   1.78814098E-05   1.78814098E-05  -1.70867625E-05
           2        2451          53        2501
  0.514999986      0.524999976      0.514999807      0.524999797      0.514999986      0.524999797    
   9.99981165E-03   4.99987602E-03 -0.955560029      0.833005488    
 -0.951378107      0.999982119       1.00000000     -0.951395214    
           3        2451          53        2501
  0.514999986      0.524999976      0.524999797      0.534999788      0.524999797      0.524999976    
   1.78813934E-07   9.99987125E-03 -0.955560029      0.833005488    
  -1.69378091E-05   1.78814098E-05   1.78814098E-05  -1.69378091E-05
           3        2451          54        2501
  0.524999976      0.534999967      0.524999797      0.534999788      0.524999976      0.534999788    
   9.99981165E-03   4.99987602E-03 -0.947229981      0.576995611    
 -0.944328189      0.999982119       1.00000000     -0.944345117    
           4        2451          54        2501
  0.524999976      0.534999967      0.534999788      0.544999778      0.534999788      0.534999967    
   1.78813934E-07   9.99987125E-03 -0.947229981      0.576995611    
  -1.68346342E-05   1.78814098E-05   1.78814098E-05  -1.68346342E-05
           4        2451          55        2501
  0.534999967      0.545000017      0.534999788      0.544999778      0.534999967      0.544999778    
   9.99981165E-03   4.99987602E-03 -0.941460013      0.424002737    
 -0.939323246      0.999982119       1.00000000     -0.939340055    
           5        2451          55        2501
  0.534999967      0.545000017      0.544999778      0.554999769      0.544999778      0.545000017    
   2.38418579E-07   9.99993086E-03 -0.941460013      0.424002737    
  -2.23450897E-05   2.38418816E-05   2.38418816E-05  -2.23450897E-05
           5        2451          56        2501
  0.545000017      0.555000007      0.544999778      0.554999769      0.545000017      0.554999769    
   9.99975204E-03   4.99987602E-03 -0.937219977      0.294000179    
 -0.935727715      0.999976158       1.00000000     -0.935750067    
           6        2451          56        2501
  0.545000017      0.555000007      0.554999769      0.564999759      0.554999769      0.555000007    
   2.38418579E-07   9.99987125E-03 -0.937219977      0.294000179    
  -2.22749932E-05   2.38418816E-05   2.38418816E-05  -2.22749932E-05
           6        2451          57        2501
  0.555000007      0.564999998      0.554999769      0.564999759      0.555000007      0.564999759    
   9.99975204E-03   4.99987602E-03 -0.934279978      0.167000458    
 -0.933422744      0.999976158       1.00000000     -0.933445036    
           7        2451          57        2501
  0.555000007      0.564999998      0.564999759      0.574999750      0.564999759      0.564999998    
   2.38418579E-07   9.99987125E-03 -0.934279978      0.167000458    
  -2.22351773E-05   2.38418816E-05   2.38418816E-05  -2.22351773E-05
           7        2451          58        2501
  0.564999998      0.574999988      0.564999759      0.574999750      0.564999998      0.574999750    
   9.99975204E-03   4.99987602E-03 -0.932609975      0.121998906    
